patient_id,source,target,ligand,receptor,prod_weight
A38 (432C),Mono_A38,Endo_A38,MIF,CD74,0.458379
A38 (432C),Mono_A38,Endo_A38,FAM3C,HLA-C,0.191384
A38 (432C),Mono_A38,Endo_A38,WNT5A,FZD1,0.280527
A38 (432C),Mono_A38,Endo_A38,CDH1,ITGB1,0.319122
A38 (432C),Mono_A38,Endo_A38,TNF,TNFRSF1A,0.155651
A38 (432C),Endo_A38,DC_A38,GRN,SORT1,0.313026
A38 (432C),Endo_A38,DC_A38,HGF,MET,0.103596
A38 (432C),Endo_A38,DC_A38,FAM3C,HLA-C,0.295083
A38 (432C),Endo_A38,DC_A38,LTB,LTBR,0.442014
A38 (432C),Endo_A38,DC_A38,MIF,CD74,0.322556
A38 (432C),NK_A38,B-mem_A38,IGF1,IGF1R,0.226402
A38 (432C),NK_A38,B-mem_A38,LILRB4,LAIR1,0.352723
A38 (432C),NK_A38,B-mem_A38,FAM3C,HLA-C,0.159303
A38 (432C),NK_A38,B-mem_A38,LTB,LTBR,0.276113
A38 (432C),NK_A38,B-mem_A38,RPS19,C5AR1,0.557316
A38 (432C),NK_A38,B-mem_A38,EGF,EGFR,0.105629
A38 (432C),NK_A38,B-mem_A38,HLA-E,KLRC1,0.322819
A38 (432C),Endo_A38,Mast_A38,FGF2,FGFR1,0.282758
A38 (432C),Endo_A38,Mast_A38,JAG1,NOTCH2,0.227663
A38 (432C),Endo_A38,Mast_A38,SPP1,CD44,0.309474
A38 (432C),Mac_A38,B-naive_A38,MDK,LRP1,0.291057
A38 (432C),Mac_A38,B-naive_A38,HLA-E,KLRC1,0.256102
A38 (432C),Mac_A38,B-naive_A38,CDH1,ITGB1,0.288786
A38 (432C),Mac_A38,B-naive_A38,FAM3C,HLA-C,0.247761
A38 (432C),Mac_A38,B-naive_A38,WNT5A,FZD1,0.361173
A38 (432C),Mac_A38,B-naive_A38,LILRB4,LAIR1,0.302281
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MIF,CD74,0.11562
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,COPA,CD74,0.310235
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CDH1,ITGB1,0.252581
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MDK,LRP1,0.286082
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,APP,CD74,0.246629
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,DLL1,NOTCH1,0.184338
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CXCL12,CXCR4,0.263492
A38 (432C),ILC3_A38,Plasma_A38,MIF,CD74,0.379601
A38 (432C),ILC3_A38,Plasma_A38,TNF,TNFRSF1A,0.001
A38 (432C),ILC3_A38,Plasma_A38,EGF,EGFR,0.109825
A38 (432C),ILC3_A38,Plasma_A38,AREG,EGFR,0.274493
A38 (432C),ILC3_A38,Plasma_A38,LTB,LTBR,0.255243
A38 (432C),Mono_A38,B-mem_A38,CCL5,CCR1,0.338975
A38 (432C),Mono_A38,B-mem_A38,LTB,LTBR,0.272818
A38 (432C),Mono_A38,B-mem_A38,C3,C3AR1,0.261484
A38 (432C),Mono_A38,B-mem_A38,CSF1,CSF1R,0.438477
A38 (432C),Mono_A38,T-CD8_A38,MDK,LRP1,0.451921
A38 (432C),Mono_A38,T-CD8_A38,LTB,LTBR,0.31486
A38 (432C),Mono_A38,T-CD8_A38,WNT5A,FZD1,0.324751
A38 (432C),Mono_A38,T-CD8_A38,EFNA1,EPHA2,0.239366
A38 (432C),Mono_A38,T-CD8_A38,FGF2,FGFR1,0.207416
A38 (432C),Mono_A38,T-CD8_A38,BMP4,BMPR1A,0.119982
A38 (432C),DC_A38,Plasma_A38,DLL1,NOTCH1,0.035694
A38 (432C),DC_A38,Plasma_A38,PDGFB,PDGFRB,0.0956
A38 (432C),DC_A38,Plasma_A38,BMP4,BMPR1A,0.212406
A38 (432C),DC_A38,Plasma_A38,HLA-E,KLRC1,0.447612
A38 (432C),DC_A38,Plasma_A38,FAM3C,HLA-C,0.28151
A38 (432C),Stromal-Intestine_A38,ILC3_A38,GRN,SORT1,0.257164
A38 (432C),Stromal-Intestine_A38,ILC3_A38,EGF,EGFR,0.124561
A38 (432C),Stromal-Intestine_A38,ILC3_A38,TGFB1,TGFBR1,0.115027
A38 (432C),Plasma_A38,T-CD4_A38,FAM3C,HLA-C,0.188409
A38 (432C),Plasma_A38,T-CD4_A38,HLA-E,KLRC1,0.377626
A38 (432C),Plasma_A38,T-CD4_A38,GRN,SORT1,0.299357
A38 (432C),NK_A38,ILC3_A38,LTB,LTBR,0.260698
A38 (432C),NK_A38,ILC3_A38,TNF,TNFRSF1A,0.082096
A38 (432C),NK_A38,ILC3_A38,AREG,EGFR,0.480598
A38 (432C),NK_A38,ILC3_A38,IL6,IL6R,0.211228
A38 (432C),NK_A38,ILC3_A38,RPS19,C5AR1,0.235335
A38 (432C),NK_A38,ILC3_A38,FAM3C,HLA-C,0.505718
A38 (432C),ILC3_A38,B-mem_A38,IGF1,IGF1R,0.277515
A38 (432C),ILC3_A38,B-mem_A38,MIF,CD74,0.267373
A38 (432C),ILC3_A38,B-mem_A38,LGALS9,MRC1,0.341743
A38 (432C),ILC3_A38,B-mem_A38,LILRB4,LAIR1,0.397365
A38 (432C),ILC3_A38,B-mem_A38,MDK,LRP1,0.414957
A38 (432C),B-mem_A38,Mac_A38,BMP4,BMPR1A,0.122879
A38 (432C),B-mem_A38,Mac_A38,APP,CD74,0.448955
A38 (432C),B-mem_A38,Mac_A38,HGF,MET,0.134307
A38 (432C),B-mem_A38,Mac_A38,CSF1,CSF1R,0.314262
A38 (432C),B-mem_A38,Mac_A38,AREG,EGFR,0.301817
A38 (432C),B-mem_A38,Mac_A38,IGF1,IGF1R,0.101318
A38 (432C),B-mem_A38,Mac_A38,LILRB4,LAIR1,0.327084
A38 (432C),Plasma_A38,Endo_A38,TGFB1,TGFBR1,0.218399
A38 (432C),Plasma_A38,Endo_A38,CDH1,ITGB1,0.134893
A38 (432C),Plasma_A38,Endo_A38,PDGFB,PDGFRB,0.221896
A30 (398B),Stromal-Intestine_A30,B-mem_A30,LTB,LTBR,0.264401
A30 (398B),Stromal-Intestine_A30,B-mem_A30,SPP1,CD44,0.161994
A30 (398B),Stromal-Intestine_A30,B-mem_A30,CDH1,ITGB1,0.111831
A30 (398B),Stromal-Intestine_A30,B-mem_A30,TGFB1,TGFBR1,0.068302
A30 (398B),DC_A30,T-gamma/delta_A30,CCL5,CCR1,0.369775
A30 (398B),DC_A30,T-gamma/delta_A30,AREG,EGFR,0.266427
A30 (398B),DC_A30,T-gamma/delta_A30,IGF1,IGF1R,0.192599
A30 (398B),DC_A30,T-gamma/delta_A30,IL6,IL6R,0.001
A30 (398B),DC_A30,B-naive_A30,TNFSF13B,HLA-DPB1,0.21657
A30 (398B),DC_A30,B-naive_A30,VEGFA,KDR,0.215489
A30 (398B),DC_A30,B-naive_A30,WNT5A,FZD1,0.280609
A30 (398B),DC_A30,B-naive_A30,JAG1,NOTCH2,0.105434
A30 (398B),Plasma_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.085803
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CCL5,CCR1,0.323592
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.178025
A30 (398B),T-CD4_A30,DC_A30,SPP1,CD44,0.187831
A30 (398B),T-CD4_A30,DC_A30,AREG,EGFR,0.509915
A30 (398B),T-CD4_A30,DC_A30,LTB,LTBR,0.440798
A30 (398B),T-CD4_A30,DC_A30,BMP4,BMPR1A,0.001
A30 (398B),T-CD4_A30,DC_A30,RPS19,C5AR1,0.251636
A30 (398B),B-naive_A30,DC_A30,JAG1,NOTCH2,0.180156
A30 (398B),B-naive_A30,DC_A30,AREG,EGFR,0.321885
A30 (398B),B-naive_A30,DC_A30,CSF1,CSF1R,0.39198
A30 (398B),B-naive_A30,DC_A30,CXCL12,CXCR4,0.415512
A30 (398B),B-naive_A30,DC_A30,SPP1,CD44,0.358114
A30 (398B),B-naive_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.132591
A30 (398B),B-naive_A30,Epi-Intestine_A30,PDGFB,PDGFRB,0.258228
A30 (398B),B-naive_A30,Epi-Intestine_A30,WNT5A,FZD1,0.107065
A30 (398B),B-naive_A30,Epi-Intestine_A30,C3,C3AR1,0.313236
A30 (398B),B-naive_A30,Plasma_A30,EFNA1,EPHA2,0.089526
A30 (398B),B-naive_A30,Plasma_A30,CD99,PILRA,0.204121
A30 (398B),B-naive_A30,Plasma_A30,APP,CD74,0.158778
A30 (398B),B-naive_A30,Plasma_A30,MIF,CD74,0.371513
A30 (398B),B-naive_A30,Plasma_A30,MDK,LRP1,0.282119
A30 (398B),B-naive_A30,T-CD4_A30,LGALS9,MRC1,0.216548
A30 (398B),B-naive_A30,T-CD4_A30,HLA-E,KLRC1,0.247332
A30 (398B),B-naive_A30,T-CD4_A30,EFNA1,EPHA2,0.300912
A30 (398B),B-naive_A30,T-CD4_A30,LTB,LTBR,0.349258
A30 (398B),B-naive_A30,T-CD4_A30,IL6,IL6R,0.288551
A30 (398B),B-naive_A30,T-CD4_A30,PDGFB,PDGFRB,0.071994
A30 (398B),DC_A30,Mono_A30,DLL1,NOTCH1,0.172159
A30 (398B),DC_A30,Mono_A30,C3,C3AR1,0.278209
A30 (398B),DC_A30,Mono_A30,FAM3C,HLA-C,0.41813
A30 (398B),DC_A30,Mono_A30,RPS19,C5AR1,0.314746
A30 (398B),DC_A30,Mono_A30,VEGFA,KDR,0.253483
A30 (398B),DC_A30,Mono_A30,BMP4,BMPR1A,0.28335
A30 (398B),DC_A30,Mono_A30,HLA-E,KLRC1,0.196036
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.116506
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,EGF,EGFR,0.25757
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TGFB1,TGFBR1,0.259559
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,APP,CD74,0.178317
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,HGF,MET,0.163387
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.259571
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,MDK,LRP1,0.15114
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.029452
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.439544
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.208933
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,JAG1,NOTCH2,0.04575
A30 (398B),Mac_A30,T-CD8_A30,VEGFA,KDR,0.14332
A30 (398B),Mac_A30,T-CD8_A30,IGF1,IGF1R,0.141939
A30 (398B),Mac_A30,T-CD8_A30,CCL3,CCR1,0.238575
A30 (398B),Mac_A30,T-CD8_A30,LTB,LTBR,0.495722
A30 (398B),Mac_A30,T-CD8_A30,EGF,EGFR,0.226754
A30 (398B),Mac_A30,T-CD8_A30,TNF,TNFRSF1A,0.235819
A30 (398B),Endo_A30,NK_A30,CXCL12,CXCR4,0.206048
A30 (398B),Endo_A30,NK_A30,CDH1,ITGB1,0.193408
A30 (398B),Endo_A30,NK_A30,CCL5,CCR1,0.242082
A30 (398B),Endo_A30,NK_A30,LTB,LTBR,0.291194
A30 (398B),Endo_A30,NK_A30,CD99,PILRA,0.379797
A30 (398B),Endo_A30,NK_A30,TNF,TNFRSF1A,0.001
A30 (398B),Endo_A30,NK_A30,AREG,EGFR,0.400229
A30 (398B),T-CD8_A30,Mast_A30,EFNA1,EPHA2,0.23845
A30 (398B),T-CD8_A30,Mast_A30,LTB,LTBR,0.360577
A30 (398B),T-CD8_A30,Mast_A30,APP,CD74,0.259047
A30 (398B),B-naive_A30,T-gamma/delta_A30,EGF,EGFR,0.126383
A30 (398B),B-naive_A30,T-gamma/delta_A30,MDK,LRP1,0.453966
A30 (398B),B-naive_A30,T-gamma/delta_A30,JAG1,NOTCH2,0.044792
A30 (398B),B-naive_A30,T-gamma/delta_A30,SPP1,CD44,0.298581
A30 (398B),B-naive_A30,T-gamma/delta_A30,TGFB1,TGFBR1,0.125513
A30 (398B),B-naive_A30,T-gamma/delta_A30,TNF,TNFRSF1A,0.207531
A30 (398B),B-naive_A30,T-gamma/delta_A30,APP,CD74,0.263938
A30 (398B),Stromal-Intestine_A30,NK_A30,TGFB1,TGFBR1,0.234235
A30 (398B),Stromal-Intestine_A30,NK_A30,RPS19,C5AR1,0.327052
A30 (398B),Stromal-Intestine_A30,NK_A30,IL6,IL6R,0.122035
A30 (398B),Stromal-Intestine_A30,NK_A30,GRN,SORT1,0.28882
A30 (398B),Stromal-Intestine_A30,NK_A30,BMP4,BMPR1A,0.129915
A30 (398B),Stromal-Intestine_A30,NK_A30,FAM3C,HLA-C,0.530737
A30 (398B),Stromal-Intestine_A30,NK_A30,LGALS9,MRC1,0.444609
A30 (398B),Mast_A30,Endo_A30,RPS19,C5AR1,0.31921
A30 (398B),Mast_A30,Endo_A30,LILRB4,LAIR1,0.319256
A30 (398B),Mast_A30,Endo_A30,HGF,MET,0.270672
A30 (398B),T-gamma/delta_A30,Plasma_A30,EGF,EGFR,0.327647
A30 (398B),T-gamma/delta_A30,Plasma_A30,IGF1,IGF1R,0.137305
A30 (398B),T-gamma/delta_A30,Plasma_A30,FGF2,FGFR1,0.185955
A30 (398B),T-gamma/delta_A30,Plasma_A30,HGF,MET,0.223918
A30 (398B),T-gamma/delta_A30,Plasma_A30,CSF1,CSF1R,0.422005
A30 (398B),T-gamma/delta_A30,Plasma_A30,MIF,CD74,0.450942
A30 (398B),B-mem_A30,Stromal-Intestine_A30,CDH1,ITGB1,0.115941
A30 (398B),B-mem_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.385035
A30 (398B),B-mem_A30,Stromal-Intestine_A30,AREG,EGFR,0.246128
A30 (398B),B-mem_A30,Stromal-Intestine_A30,LILRB4,LAIR1,0.299518
A30 (398B),B-mem_A30,Stromal-Intestine_A30,VEGFA,KDR,0.129779
A30 (398B),B-mem_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.117535
A30 (398B),Mono_A30,Endo_A30,CSF1,CSF1R,0.286569
A30 (398B),Mono_A30,Endo_A30,MIF,CD74,0.436645
A30 (398B),Mono_A30,Endo_A30,IL6,IL6R,0.228713
A30 (398B),Mono_A30,Endo_A30,MDK,LRP1,0.201087
A30 (398B),Mono_A30,Endo_A30,FGF2,FGFR1,0.160879
A30 (398B),Mono_A30,Endo_A30,CCL3,CCR1,0.4286
A30 (398B),Plasma_A30,B-mem_A30,CCL5,CCR1,0.475838
A30 (398B),Plasma_A30,B-mem_A30,WNT5A,FZD1,0.001
A30 (398B),Plasma_A30,B-mem_A30,JAG1,NOTCH2,0.18023
A30 (398B),Plasma_A30,B-mem_A30,FAM3C,HLA-C,0.350528
A30 (398B),Plasma_A30,B-mem_A30,FGF2,FGFR1,0.384519
A30 (398B),Mac_A30,B-mem_A30,LGALS9,MRC1,0.394975
A30 (398B),Mac_A30,B-mem_A30,CDH1,ITGB1,0.183734
A30 (398B),Mac_A30,B-mem_A30,CXCL12,CXCR4,0.314023
A30 (398B),Mac_A30,B-mem_A30,EGF,EGFR,0.098046
A30 (398B),Mac_A30,B-mem_A30,VEGFA,KDR,0.113108
A30 (398B),Mac_A30,ILC3_A30,COPA,CD74,0.432252
A30 (398B),Mac_A30,ILC3_A30,CCL5,CCR1,0.28201
A30 (398B),Mac_A30,ILC3_A30,CSF1,CSF1R,0.415158
A30 (398B),Mac_A30,ILC3_A30,JAG1,NOTCH2,0.132852
A30 (398B),T-CD8_A30,Mac_A30,WNT5A,FZD1,0.125155
A30 (398B),T-CD8_A30,Mac_A30,RPS19,C5AR1,0.349986
A30 (398B),T-CD8_A30,Mac_A30,GRN,SORT1,0.424789
A30 (398B),T-CD8_A30,Mac_A30,EGF,EGFR,0.293305
A30 (398B),T-CD8_A30,Mac_A30,CCL5,CCR1,0.185612
A30 (398B),T-gamma/delta_A30,DC_A30,LTB,LTBR,0.324487
A30 (398B),T-gamma/delta_A30,DC_A30,HGF,MET,0.127039
A30 (398B),T-gamma/delta_A30,DC_A30,CCL5,CCR1,0.258102
A30 (398B),T-gamma/delta_A30,DC_A30,LGALS9,MRC1,0.271038
A30 (398B),T-gamma/delta_A30,DC_A30,MDK,LRP1,0.027686
A30 (398B),T-gamma/delta_A30,DC_A30,EGF,EGFR,0.208024
A30 (398B),T-gamma/delta_A30,DC_A30,CCL3,CCR1,0.149619
A30 (398B),T-CD8_A30,B-naive_A30,HLA-E,KLRC1,0.332207
A30 (398B),T-CD8_A30,B-naive_A30,CSF1,CSF1R,0.168674
A30 (398B),T-CD8_A30,B-naive_A30,EGF,EGFR,0.112751
A30 (398B),T-CD8_A30,B-naive_A30,MIF,CD74,0.227347
A30 (398B),T-CD8_A30,B-naive_A30,FGF2,FGFR1,0.233535
A30 (398B),T-CD8_A30,B-naive_A30,COPA,CD74,0.221467
A30 (398B),T-CD8_A30,B-naive_A30,PDGFB,PDGFRB,0.281684
A30 (398B),T-gamma/delta_A30,Mac_A30,TGFB1,TGFBR1,0.205411
A30 (398B),T-gamma/delta_A30,Mac_A30,TNFSF13B,HLA-DPB1,0.455418
A30 (398B),T-gamma/delta_A30,Mac_A30,GRN,SORT1,0.346062
A30 (398B),T-gamma/delta_A30,Mac_A30,CD99,PILRA,0.373987
A30 (398B),T-gamma/delta_A30,Mac_A30,WNT5A,FZD1,0.185956
A30 (398B),Mono_A30,Mast_A30,EFNA1,EPHA2,0.115941
A30 (398B),Mono_A30,Mast_A30,CDH1,ITGB1,0.169427
A30 (398B),Mono_A30,Mast_A30,MIF,CD74,0.318026
A30 (398B),Mono_A30,Mast_A30,LGALS9,MRC1,0.354495
A30 (398B),Mono_A30,Mast_A30,MDK,LRP1,0.512389
A30 (398B),Mono_A30,Epi-Intestine_A30,IL6,IL6R,0.209754
A30 (398B),Mono_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.299654
A30 (398B),Mono_A30,Epi-Intestine_A30,TNFSF13B,HLA-DPB1,0.357198
A30 (398B),Mono_A30,Epi-Intestine_A30,CXCL12,CXCR4,0.334114
A30 (398B),Mono_A30,Epi-Intestine_A30,JAG1,NOTCH2,0.145588
A30 (398B),ILC3_A30,T-CD8_A30,TNFSF13B,HLA-DPB1,0.235823
A30 (398B),ILC3_A30,T-CD8_A30,IGF1,IGF1R,0.227361
A30 (398B),ILC3_A30,T-CD8_A30,CXCL12,CXCR4,0.343598
A30 (398B),ILC3_A30,T-CD8_A30,CCL5,CCR1,0.495468
A30 (398B),ILC3_A30,T-CD8_A30,SPP1,CD44,0.242686
A30 (398B),ILC3_A30,T-CD8_A30,TNF,TNFRSF1A,0.347743
A30 (398B),T-CD4_A30,Mono_A30,CDH1,ITGB1,0.296516
A30 (398B),T-CD4_A30,Mono_A30,CXCL12,CXCR4,0.419309
A30 (398B),T-CD4_A30,Mono_A30,SPP1,CD44,0.276871
A30 (398B),T-CD4_A30,Mono_A30,TGFB1,TGFBR1,0.307655
A30 (398B),Epi-Intestine_A30,B-mem_A30,EFNA1,EPHA2,0.168596
A30 (398B),Epi-Intestine_A30,B-mem_A30,IGF1,IGF1R,0.142206
A30 (398B),Epi-Intestine_A30,B-mem_A30,PDGFB,PDGFRB,0.144064
A30 (398B),Epi-Intestine_A30,B-mem_A30,CSF1,CSF1R,0.276291
A30 (398B),Epi-Intestine_A30,B-mem_A30,CXCL12,CXCR4,0.497188
A30 (398B),Stromal-Intestine_A30,Mono_A30,CDH1,ITGB1,0.251638
A30 (398B),Stromal-Intestine_A30,Mono_A30,TNFSF13B,HLA-DPB1,0.331204
A30 (398B),Stromal-Intestine_A30,Mono_A30,IGF1,IGF1R,0.00828
A30 (398B),Stromal-Intestine_A30,Mono_A30,CCL5,CCR1,0.157381
A30 (398B),Stromal-Intestine_A30,Mono_A30,BMP4,BMPR1A,0.211511
A30 (398B),Stromal-Intestine_A30,Mono_A30,TGFB1,TGFBR1,0.143508
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,GRN,SORT1,0.305197
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.356609
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.300327
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,HGF,MET,0.250941
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,IL6,IL6R,0.021055
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,CCL3,CCR1,0.470922
A30 (398B),Endo_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.313277
A30 (398B),Endo_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.330755
A30 (398B),Endo_A30,Stromal-Intestine_A30,FGF2,FGFR1,0.200628
A30 (398B),Endo_A30,Stromal-Intestine_A30,RPS19,C5AR1,0.320814
A30 (398B),T-CD8_A30,T-gamma/delta_A30,LGALS9,MRC1,0.432405
A30 (398B),T-CD8_A30,T-gamma/delta_A30,BMP4,BMPR1A,0.178261
A30 (398B),T-CD8_A30,T-gamma/delta_A30,AREG,EGFR,0.295084
A30 (398B),DC_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.226195
A30 (398B),DC_A30,Epi-Intestine_A30,FAM3C,HLA-C,0.264313
A30 (398B),DC_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.068185
A30 (398B),DC_A30,Epi-Intestine_A30,HLA-E,KLRC1,0.231497
A30 (398B),T-CD8_A30,ILC3_A30,CSF1,CSF1R,0.261846
A30 (398B),T-CD8_A30,ILC3_A30,RPS19,C5AR1,0.336248
A30 (398B),T-CD8_A30,ILC3_A30,EFNA1,EPHA2,0.048384
A30 (398B),T-CD8_A30,ILC3_A30,C3,C3AR1,0.288244
A30 (398B),T-CD8_A30,ILC3_A30,IGF1,IGF1R,0.129591
A30 (398B),DC_A30,Stromal-Intestine_A30,EGF,EGFR,0.345111
A30 (398B),DC_A30,Stromal-Intestine_A30,DLL1,NOTCH1,0.318483
A30 (398B),DC_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.306322
A30 (398B),DC_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.336739
A30 (398B),DC_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.205705
A30 (398B),DC_A30,Stromal-Intestine_A30,CCL3,CCR1,0.293997
A30 (398B),DC_A30,Stromal-Intestine_A30,AREG,EGFR,0.257183
