patient_id,source,target,ligand,receptor,logfc_comb
A38 (432C),Mono_A38,Endo_A38,MIF,CD74,1.7924
A38 (432C),Mono_A38,Endo_A38,FAM3C,HLA-C,1.1777
A38 (432C),Mono_A38,Endo_A38,WNT5A,FZD1,1.0699
A38 (432C),Mono_A38,Endo_A38,CDH1,ITGB1,0.4712
A38 (432C),Mono_A38,Endo_A38,TNF,TNFRSF1A,0.9926
A38 (432C),Endo_A38,DC_A38,GRN,SORT1,1.0311
A38 (432C),Endo_A38,DC_A38,HGF,MET,0.2265
A38 (432C),Endo_A38,DC_A38,FAM3C,HLA-C,1.5313
A38 (432C),Endo_A38,DC_A38,LTB,LTBR,0.8328
A38 (432C),Endo_A38,DC_A38,MIF,CD74,1.5228
A38 (432C),NK_A38,B-mem_A38,IGF1,IGF1R,0.6204
A38 (432C),NK_A38,B-mem_A38,LILRB4,LAIR1,0.9784
A38 (432C),NK_A38,B-mem_A38,FAM3C,HLA-C,1.7579
A38 (432C),NK_A38,B-mem_A38,LTB,LTBR,0.7046
A38 (432C),NK_A38,B-mem_A38,RPS19,C5AR1,1.105
A38 (432C),NK_A38,B-mem_A38,EGF,EGFR,0.5411
A38 (432C),NK_A38,B-mem_A38,HLA-E,KLRC1,1.3157
A38 (432C),Endo_A38,Mast_A38,FGF2,FGFR1,1.0153
A38 (432C),Endo_A38,Mast_A38,JAG1,NOTCH2,1.1452
A38 (432C),Endo_A38,Mast_A38,SPP1,CD44,0.7331
A38 (432C),Mac_A38,B-naive_A38,MDK,LRP1,1.5008
A38 (432C),Mac_A38,B-naive_A38,HLA-E,KLRC1,1.3334
A38 (432C),Mac_A38,B-naive_A38,CDH1,ITGB1,1.18
A38 (432C),Mac_A38,B-naive_A38,FAM3C,HLA-C,1.6647
A38 (432C),Mac_A38,B-naive_A38,WNT5A,FZD1,0.7116
A38 (432C),Mac_A38,B-naive_A38,LILRB4,LAIR1,0.4612
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MIF,CD74,0.969
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,COPA,CD74,1.6735
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CDH1,ITGB1,0.6889
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MDK,LRP1,1.4878
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,APP,CD74,1.3134
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,DLL1,NOTCH1,0.4459
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CXCL12,CXCR4,1.3452
A38 (432C),ILC3_A38,Plasma_A38,MIF,CD74,1.7922
A38 (432C),ILC3_A38,Plasma_A38,TNF,TNFRSF1A,1.4678
A38 (432C),ILC3_A38,Plasma_A38,EGF,EGFR,0.4693
A38 (432C),ILC3_A38,Plasma_A38,AREG,EGFR,1.1195
A38 (432C),ILC3_A38,Plasma_A38,LTB,LTBR,0.9906
A38 (432C),Mono_A38,B-mem_A38,CCL5,CCR1,1.5592
A38 (432C),Mono_A38,B-mem_A38,LTB,LTBR,1.6908
A38 (432C),Mono_A38,B-mem_A38,C3,C3AR1,1.1223
A38 (432C),Mono_A38,B-mem_A38,CSF1,CSF1R,2.0063
A38 (432C),Mono_A38,T-CD8_A38,MDK,LRP1,0.3038
A38 (432C),Mono_A38,T-CD8_A38,LTB,LTBR,0.883
A38 (432C),Mono_A38,T-CD8_A38,WNT5A,FZD1,0.451
A38 (432C),Mono_A38,T-CD8_A38,EFNA1,EPHA2,0.8179
A38 (432C),Mono_A38,T-CD8_A38,FGF2,FGFR1,0.8117
A38 (432C),Mono_A38,T-CD8_A38,BMP4,BMPR1A,0.629
A38 (432C),DC_A38,Plasma_A38,DLL1,NOTCH1,1.4898
A38 (432C),DC_A38,Plasma_A38,PDGFB,PDGFRB,0.6536
A38 (432C),DC_A38,Plasma_A38,BMP4,BMPR1A,0.694
A38 (432C),DC_A38,Plasma_A38,HLA-E,KLRC1,1.1632
A38 (432C),DC_A38,Plasma_A38,FAM3C,HLA-C,1.2701
A38 (432C),Stromal-Intestine_A38,ILC3_A38,GRN,SORT1,1.5608
A38 (432C),Stromal-Intestine_A38,ILC3_A38,EGF,EGFR,0.3434
A38 (432C),Stromal-Intestine_A38,ILC3_A38,TGFB1,TGFBR1,-0.2857
A38 (432C),Plasma_A38,T-CD4_A38,FAM3C,HLA-C,1.3495
A38 (432C),Plasma_A38,T-CD4_A38,HLA-E,KLRC1,0.538
A38 (432C),Plasma_A38,T-CD4_A38,GRN,SORT1,1.6139
A38 (432C),NK_A38,ILC3_A38,LTB,LTBR,0.9452
A38 (432C),NK_A38,ILC3_A38,TNF,TNFRSF1A,0.4538
A38 (432C),NK_A38,ILC3_A38,AREG,EGFR,1.5405
A38 (432C),NK_A38,ILC3_A38,IL6,IL6R,0.1865
A38 (432C),NK_A38,ILC3_A38,RPS19,C5AR1,1.1557
A38 (432C),NK_A38,ILC3_A38,FAM3C,HLA-C,1.8154
A38 (432C),ILC3_A38,B-mem_A38,IGF1,IGF1R,0.0786
A38 (432C),ILC3_A38,B-mem_A38,MIF,CD74,1.7251
A38 (432C),ILC3_A38,B-mem_A38,LGALS9,MRC1,0.9825
A38 (432C),ILC3_A38,B-mem_A38,LILRB4,LAIR1,1.3392
A38 (432C),ILC3_A38,B-mem_A38,MDK,LRP1,1.7331
A38 (432C),B-mem_A38,Mac_A38,BMP4,BMPR1A,0.9496
A38 (432C),B-mem_A38,Mac_A38,APP,CD74,1.5888
A38 (432C),B-mem_A38,Mac_A38,HGF,MET,1.0242
A38 (432C),B-mem_A38,Mac_A38,CSF1,CSF1R,1.3394
A38 (432C),B-mem_A38,Mac_A38,AREG,EGFR,1.5784
A38 (432C),B-mem_A38,Mac_A38,IGF1,IGF1R,0.4469
A38 (432C),B-mem_A38,Mac_A38,LILRB4,LAIR1,1.4417
A38 (432C),Plasma_A38,Endo_A38,TGFB1,TGFBR1,0.4466
A38 (432C),Plasma_A38,Endo_A38,CDH1,ITGB1,0.8302
A38 (432C),Plasma_A38,Endo_A38,PDGFB,PDGFRB,0.6887
A30 (398B),Stromal-Intestine_A30,B-mem_A30,LTB,LTBR,0.8694
A30 (398B),Stromal-Intestine_A30,B-mem_A30,SPP1,CD44,0.9323
A30 (398B),Stromal-Intestine_A30,B-mem_A30,CDH1,ITGB1,0.7491
A30 (398B),Stromal-Intestine_A30,B-mem_A30,TGFB1,TGFBR1,0.0401
A30 (398B),DC_A30,T-gamma/delta_A30,CCL5,CCR1,1.0955
A30 (398B),DC_A30,T-gamma/delta_A30,AREG,EGFR,0.7502
A30 (398B),DC_A30,T-gamma/delta_A30,IGF1,IGF1R,1.2879
A30 (398B),DC_A30,T-gamma/delta_A30,IL6,IL6R,0.4411
A30 (398B),DC_A30,B-naive_A30,TNFSF13B,HLA-DPB1,1.0297
A30 (398B),DC_A30,B-naive_A30,VEGFA,KDR,0.5835
A30 (398B),DC_A30,B-naive_A30,WNT5A,FZD1,0.7219
A30 (398B),DC_A30,B-naive_A30,JAG1,NOTCH2,0.9689
A30 (398B),Plasma_A30,Stromal-Intestine_A30,BMP4,BMPR1A,1.4233
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CCL5,CCR1,1.5595
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CXCL12,CXCR4,1.4119
A30 (398B),T-CD4_A30,DC_A30,SPP1,CD44,1.5869
A30 (398B),T-CD4_A30,DC_A30,AREG,EGFR,1.2678
A30 (398B),T-CD4_A30,DC_A30,LTB,LTBR,1.499
A30 (398B),T-CD4_A30,DC_A30,BMP4,BMPR1A,1.0687
A30 (398B),T-CD4_A30,DC_A30,RPS19,C5AR1,0.707
A30 (398B),B-naive_A30,DC_A30,JAG1,NOTCH2,1.426
A30 (398B),B-naive_A30,DC_A30,AREG,EGFR,1.4994
A30 (398B),B-naive_A30,DC_A30,CSF1,CSF1R,1.6331
A30 (398B),B-naive_A30,DC_A30,CXCL12,CXCR4,1.2473
A30 (398B),B-naive_A30,DC_A30,SPP1,CD44,1.4273
A30 (398B),B-naive_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.2451
A30 (398B),B-naive_A30,Epi-Intestine_A30,PDGFB,PDGFRB,1.3696
A30 (398B),B-naive_A30,Epi-Intestine_A30,WNT5A,FZD1,0.9902
A30 (398B),B-naive_A30,Epi-Intestine_A30,C3,C3AR1,1.3626
A30 (398B),B-naive_A30,Plasma_A30,EFNA1,EPHA2,0.8722
A30 (398B),B-naive_A30,Plasma_A30,CD99,PILRA,1.1596
A30 (398B),B-naive_A30,Plasma_A30,APP,CD74,2.2935
A30 (398B),B-naive_A30,Plasma_A30,MIF,CD74,1.2273
A30 (398B),B-naive_A30,Plasma_A30,MDK,LRP1,1.294
A30 (398B),B-naive_A30,T-CD4_A30,LGALS9,MRC1,1.4954
A30 (398B),B-naive_A30,T-CD4_A30,HLA-E,KLRC1,1.0527
A30 (398B),B-naive_A30,T-CD4_A30,EFNA1,EPHA2,1.2722
A30 (398B),B-naive_A30,T-CD4_A30,LTB,LTBR,1.4648
A30 (398B),B-naive_A30,T-CD4_A30,IL6,IL6R,0.3795
A30 (398B),B-naive_A30,T-CD4_A30,PDGFB,PDGFRB,0.7259
A30 (398B),DC_A30,Mono_A30,DLL1,NOTCH1,0.9954
A30 (398B),DC_A30,Mono_A30,C3,C3AR1,0.9973
A30 (398B),DC_A30,Mono_A30,FAM3C,HLA-C,1.2645
A30 (398B),DC_A30,Mono_A30,RPS19,C5AR1,1.212
A30 (398B),DC_A30,Mono_A30,VEGFA,KDR,0.9591
A30 (398B),DC_A30,Mono_A30,BMP4,BMPR1A,0.5415
A30 (398B),DC_A30,Mono_A30,HLA-E,KLRC1,1.8339
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,CXCL12,CXCR4,1.011
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,EGF,EGFR,0.6478
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TGFB1,TGFBR1,1.6856
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,APP,CD74,1.5638
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,HGF,MET,-0.0485
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.7898
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,MDK,LRP1,1.4672
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.7657
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,1.2974
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,HLA-E,KLRC1,1.2857
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,JAG1,NOTCH2,1.134
A30 (398B),Mac_A30,T-CD8_A30,VEGFA,KDR,-0.2058
A30 (398B),Mac_A30,T-CD8_A30,IGF1,IGF1R,0.8888
A30 (398B),Mac_A30,T-CD8_A30,CCL3,CCR1,2.1528
A30 (398B),Mac_A30,T-CD8_A30,LTB,LTBR,1.5593
A30 (398B),Mac_A30,T-CD8_A30,EGF,EGFR,0.8794
A30 (398B),Mac_A30,T-CD8_A30,TNF,TNFRSF1A,0.9813
A30 (398B),Endo_A30,NK_A30,CXCL12,CXCR4,1.0175
A30 (398B),Endo_A30,NK_A30,CDH1,ITGB1,0.9787
A30 (398B),Endo_A30,NK_A30,CCL5,CCR1,1.2406
A30 (398B),Endo_A30,NK_A30,LTB,LTBR,1.5687
A30 (398B),Endo_A30,NK_A30,CD99,PILRA,0.246
A30 (398B),Endo_A30,NK_A30,TNF,TNFRSF1A,0.187
A30 (398B),Endo_A30,NK_A30,AREG,EGFR,0.9943
A30 (398B),T-CD8_A30,Mast_A30,EFNA1,EPHA2,0.8098
A30 (398B),T-CD8_A30,Mast_A30,LTB,LTBR,1.5662
A30 (398B),T-CD8_A30,Mast_A30,APP,CD74,0.9
A30 (398B),B-naive_A30,T-gamma/delta_A30,EGF,EGFR,0.4067
A30 (398B),B-naive_A30,T-gamma/delta_A30,MDK,LRP1,0.8211
A30 (398B),B-naive_A30,T-gamma/delta_A30,JAG1,NOTCH2,0.1631
A30 (398B),B-naive_A30,T-gamma/delta_A30,SPP1,CD44,1.5404
A30 (398B),B-naive_A30,T-gamma/delta_A30,TGFB1,TGFBR1,0.995
A30 (398B),B-naive_A30,T-gamma/delta_A30,TNF,TNFRSF1A,1.2502
A30 (398B),B-naive_A30,T-gamma/delta_A30,APP,CD74,1.072
A30 (398B),Stromal-Intestine_A30,NK_A30,TGFB1,TGFBR1,0.9502
A30 (398B),Stromal-Intestine_A30,NK_A30,RPS19,C5AR1,1.5155
A30 (398B),Stromal-Intestine_A30,NK_A30,IL6,IL6R,0.6937
A30 (398B),Stromal-Intestine_A30,NK_A30,GRN,SORT1,0.603
A30 (398B),Stromal-Intestine_A30,NK_A30,BMP4,BMPR1A,1.0277
A30 (398B),Stromal-Intestine_A30,NK_A30,FAM3C,HLA-C,0.8893
A30 (398B),Stromal-Intestine_A30,NK_A30,LGALS9,MRC1,1.2226
A30 (398B),Mast_A30,Endo_A30,RPS19,C5AR1,0.577
A30 (398B),Mast_A30,Endo_A30,LILRB4,LAIR1,1.2193
A30 (398B),Mast_A30,Endo_A30,HGF,MET,0.8529
A30 (398B),T-gamma/delta_A30,Plasma_A30,EGF,EGFR,0.7237
A30 (398B),T-gamma/delta_A30,Plasma_A30,IGF1,IGF1R,1.0687
A30 (398B),T-gamma/delta_A30,Plasma_A30,FGF2,FGFR1,0.5257
A30 (398B),T-gamma/delta_A30,Plasma_A30,HGF,MET,-0.0139
A30 (398B),T-gamma/delta_A30,Plasma_A30,CSF1,CSF1R,0.6237
A30 (398B),T-gamma/delta_A30,Plasma_A30,MIF,CD74,1.1436
A30 (398B),B-mem_A30,Stromal-Intestine_A30,CDH1,ITGB1,1.0007
A30 (398B),B-mem_A30,Stromal-Intestine_A30,FAM3C,HLA-C,1.5377
A30 (398B),B-mem_A30,Stromal-Intestine_A30,AREG,EGFR,1.2841
A30 (398B),B-mem_A30,Stromal-Intestine_A30,LILRB4,LAIR1,0.8431
A30 (398B),B-mem_A30,Stromal-Intestine_A30,VEGFA,KDR,0.1141
A30 (398B),B-mem_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.4394
A30 (398B),Mono_A30,Endo_A30,CSF1,CSF1R,1.6723
A30 (398B),Mono_A30,Endo_A30,MIF,CD74,0.8434
A30 (398B),Mono_A30,Endo_A30,IL6,IL6R,-0.0473
A30 (398B),Mono_A30,Endo_A30,MDK,LRP1,0.8117
A30 (398B),Mono_A30,Endo_A30,FGF2,FGFR1,0.8063
A30 (398B),Mono_A30,Endo_A30,CCL3,CCR1,1.6211
A30 (398B),Plasma_A30,B-mem_A30,CCL5,CCR1,2.3289
A30 (398B),Plasma_A30,B-mem_A30,WNT5A,FZD1,1.1352
A30 (398B),Plasma_A30,B-mem_A30,JAG1,NOTCH2,0.6571
A30 (398B),Plasma_A30,B-mem_A30,FAM3C,HLA-C,0.8787
A30 (398B),Plasma_A30,B-mem_A30,FGF2,FGFR1,0.8435
A30 (398B),Mac_A30,B-mem_A30,LGALS9,MRC1,1.4431
A30 (398B),Mac_A30,B-mem_A30,CDH1,ITGB1,1.2868
A30 (398B),Mac_A30,B-mem_A30,CXCL12,CXCR4,1.7771
A30 (398B),Mac_A30,B-mem_A30,EGF,EGFR,0.1629
A30 (398B),Mac_A30,B-mem_A30,VEGFA,KDR,0.7703
A30 (398B),Mac_A30,ILC3_A30,COPA,CD74,1.4064
A30 (398B),Mac_A30,ILC3_A30,CCL5,CCR1,1.3745
A30 (398B),Mac_A30,ILC3_A30,CSF1,CSF1R,1.2635
A30 (398B),Mac_A30,ILC3_A30,JAG1,NOTCH2,0.471
A30 (398B),T-CD8_A30,Mac_A30,WNT5A,FZD1,0.3341
A30 (398B),T-CD8_A30,Mac_A30,RPS19,C5AR1,1.2255
A30 (398B),T-CD8_A30,Mac_A30,GRN,SORT1,1.6974
A30 (398B),T-CD8_A30,Mac_A30,EGF,EGFR,0.6469
A30 (398B),T-CD8_A30,Mac_A30,CCL5,CCR1,0.9201
A30 (398B),T-gamma/delta_A30,DC_A30,LTB,LTBR,1.0098
A30 (398B),T-gamma/delta_A30,DC_A30,HGF,MET,0.6316
A30 (398B),T-gamma/delta_A30,DC_A30,CCL5,CCR1,1.5617
A30 (398B),T-gamma/delta_A30,DC_A30,LGALS9,MRC1,0.4985
A30 (398B),T-gamma/delta_A30,DC_A30,MDK,LRP1,1.7614
A30 (398B),T-gamma/delta_A30,DC_A30,EGF,EGFR,0.8302
A30 (398B),T-gamma/delta_A30,DC_A30,CCL3,CCR1,1.2423
A30 (398B),T-CD8_A30,B-naive_A30,HLA-E,KLRC1,1.3575
A30 (398B),T-CD8_A30,B-naive_A30,CSF1,CSF1R,1.2462
A30 (398B),T-CD8_A30,B-naive_A30,EGF,EGFR,0.1828
A30 (398B),T-CD8_A30,B-naive_A30,MIF,CD74,1.4019
A30 (398B),T-CD8_A30,B-naive_A30,FGF2,FGFR1,0.7665
A30 (398B),T-CD8_A30,B-naive_A30,COPA,CD74,1.6198
A30 (398B),T-CD8_A30,B-naive_A30,PDGFB,PDGFRB,0.8757
A30 (398B),T-gamma/delta_A30,Mac_A30,TGFB1,TGFBR1,1.108
A30 (398B),T-gamma/delta_A30,Mac_A30,TNFSF13B,HLA-DPB1,0.3526
A30 (398B),T-gamma/delta_A30,Mac_A30,GRN,SORT1,1.191
A30 (398B),T-gamma/delta_A30,Mac_A30,CD99,PILRA,1.4299
A30 (398B),T-gamma/delta_A30,Mac_A30,WNT5A,FZD1,0.6781
A30 (398B),Mono_A30,Mast_A30,EFNA1,EPHA2,0.334
A30 (398B),Mono_A30,Mast_A30,CDH1,ITGB1,0.5865
A30 (398B),Mono_A30,Mast_A30,MIF,CD74,1.5965
A30 (398B),Mono_A30,Mast_A30,LGALS9,MRC1,1.8464
A30 (398B),Mono_A30,Mast_A30,MDK,LRP1,1.3328
A30 (398B),Mono_A30,Epi-Intestine_A30,IL6,IL6R,0.6382
A30 (398B),Mono_A30,Epi-Intestine_A30,DLL1,NOTCH1,1.0772
A30 (398B),Mono_A30,Epi-Intestine_A30,TNFSF13B,HLA-DPB1,1.2428
A30 (398B),Mono_A30,Epi-Intestine_A30,CXCL12,CXCR4,1.8035
A30 (398B),Mono_A30,Epi-Intestine_A30,JAG1,NOTCH2,0.7021
A30 (398B),ILC3_A30,T-CD8_A30,TNFSF13B,HLA-DPB1,1.5911
A30 (398B),ILC3_A30,T-CD8_A30,IGF1,IGF1R,1.2845
A30 (398B),ILC3_A30,T-CD8_A30,CXCL12,CXCR4,1.2319
A30 (398B),ILC3_A30,T-CD8_A30,CCL5,CCR1,1.6651
A30 (398B),ILC3_A30,T-CD8_A30,SPP1,CD44,1.4119
A30 (398B),ILC3_A30,T-CD8_A30,TNF,TNFRSF1A,0.7253
A30 (398B),T-CD4_A30,Mono_A30,CDH1,ITGB1,0.2699
A30 (398B),T-CD4_A30,Mono_A30,CXCL12,CXCR4,0.8786
A30 (398B),T-CD4_A30,Mono_A30,SPP1,CD44,1.2105
A30 (398B),T-CD4_A30,Mono_A30,TGFB1,TGFBR1,0.4533
A30 (398B),Epi-Intestine_A30,B-mem_A30,EFNA1,EPHA2,1.0031
A30 (398B),Epi-Intestine_A30,B-mem_A30,IGF1,IGF1R,1.2311
A30 (398B),Epi-Intestine_A30,B-mem_A30,PDGFB,PDGFRB,0.6953
A30 (398B),Epi-Intestine_A30,B-mem_A30,CSF1,CSF1R,1.9488
A30 (398B),Epi-Intestine_A30,B-mem_A30,CXCL12,CXCR4,1.3823
A30 (398B),Stromal-Intestine_A30,Mono_A30,CDH1,ITGB1,0.8793
A30 (398B),Stromal-Intestine_A30,Mono_A30,TNFSF13B,HLA-DPB1,1.0517
A30 (398B),Stromal-Intestine_A30,Mono_A30,IGF1,IGF1R,0.7483
A30 (398B),Stromal-Intestine_A30,Mono_A30,CCL5,CCR1,1.1665
A30 (398B),Stromal-Intestine_A30,Mono_A30,BMP4,BMPR1A,0.185
A30 (398B),Stromal-Intestine_A30,Mono_A30,TGFB1,TGFBR1,0.8168
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,GRN,SORT1,0.8982
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,LGALS9,MRC1,1.4394
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.8568
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,HGF,MET,0.6437
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,IL6,IL6R,0.7259
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,CCL3,CCR1,1.204
A30 (398B),Endo_A30,Stromal-Intestine_A30,HLA-E,KLRC1,1.1151
A30 (398B),Endo_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,2.0194
A30 (398B),Endo_A30,Stromal-Intestine_A30,FGF2,FGFR1,1.0298
A30 (398B),Endo_A30,Stromal-Intestine_A30,RPS19,C5AR1,1.8421
A30 (398B),T-CD8_A30,T-gamma/delta_A30,LGALS9,MRC1,1.0881
A30 (398B),T-CD8_A30,T-gamma/delta_A30,BMP4,BMPR1A,0.8992
A30 (398B),T-CD8_A30,T-gamma/delta_A30,AREG,EGFR,1.3834
A30 (398B),DC_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.0246
A30 (398B),DC_A30,Epi-Intestine_A30,FAM3C,HLA-C,0.5768
A30 (398B),DC_A30,Epi-Intestine_A30,TNF,TNFRSF1A,1.3411
A30 (398B),DC_A30,Epi-Intestine_A30,HLA-E,KLRC1,1.5389
A30 (398B),T-CD8_A30,ILC3_A30,CSF1,CSF1R,1.3113
A30 (398B),T-CD8_A30,ILC3_A30,RPS19,C5AR1,0.7582
A30 (398B),T-CD8_A30,ILC3_A30,EFNA1,EPHA2,1.0166
A30 (398B),T-CD8_A30,ILC3_A30,C3,C3AR1,1.1502
A30 (398B),T-CD8_A30,ILC3_A30,IGF1,IGF1R,0.5082
A30 (398B),DC_A30,Stromal-Intestine_A30,EGF,EGFR,0.4219
A30 (398B),DC_A30,Stromal-Intestine_A30,DLL1,NOTCH1,1.206
A30 (398B),DC_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.9709
A30 (398B),DC_A30,Stromal-Intestine_A30,HLA-E,KLRC1,1.2774
A30 (398B),DC_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.8864
A30 (398B),DC_A30,Stromal-Intestine_A30,CCL3,CCR1,1.0227
A30 (398B),DC_A30,Stromal-Intestine_A30,AREG,EGFR,1.1536
