patient_id,source,target,ligand,receptor,prob
A38 (432C),Mono_A38,Endo_A38,MIF,CD74,0.387616
A38 (432C),Mono_A38,Endo_A38,FAM3C,HLA-C,0.595772
A38 (432C),Mono_A38,Endo_A38,WNT5A,FZD1,0.623598
A38 (432C),Mono_A38,Endo_A38,CDH1,ITGB1,0.608608
A38 (432C),Mono_A38,Endo_A38,TNF,TNFRSF1A,0.398123
A38 (432C),Endo_A38,DC_A38,GRN,SORT1,0.533766
A38 (432C),Endo_A38,DC_A38,HGF,MET,0.237821
A38 (432C),Endo_A38,DC_A38,FAM3C,HLA-C,0.749958
A38 (432C),Endo_A38,DC_A38,LTB,LTBR,0.638488
A38 (432C),Endo_A38,DC_A38,MIF,CD74,0.45091
A38 (432C),NK_A38,B-mem_A38,IGF1,IGF1R,0.15511
A38 (432C),NK_A38,B-mem_A38,LILRB4,LAIR1,0.68439
A38 (432C),NK_A38,B-mem_A38,FAM3C,HLA-C,0.64686
A38 (432C),NK_A38,B-mem_A38,LTB,LTBR,0.505816
A38 (432C),NK_A38,B-mem_A38,RPS19,C5AR1,0.318617
A38 (432C),NK_A38,B-mem_A38,EGF,EGFR,0.481197
A38 (432C),NK_A38,B-mem_A38,HLA-E,KLRC1,0.766843
A38 (432C),Endo_A38,Mast_A38,FGF2,FGFR1,0.157765
A38 (432C),Endo_A38,Mast_A38,JAG1,NOTCH2,0.189815
A38 (432C),Endo_A38,Mast_A38,SPP1,CD44,0.374563
A38 (432C),Mac_A38,B-naive_A38,MDK,LRP1,0.674041
A38 (432C),Mac_A38,B-naive_A38,HLA-E,KLRC1,0.601237
A38 (432C),Mac_A38,B-naive_A38,CDH1,ITGB1,0.331128
A38 (432C),Mac_A38,B-naive_A38,FAM3C,HLA-C,0.757271
A38 (432C),Mac_A38,B-naive_A38,WNT5A,FZD1,0.488228
A38 (432C),Mac_A38,B-naive_A38,LILRB4,LAIR1,0.563778
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MIF,CD74,0.456556
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,COPA,CD74,0.510832
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CDH1,ITGB1,0.407882
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MDK,LRP1,0.889805
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,APP,CD74,0.431128
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,DLL1,NOTCH1,0.159872
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CXCL12,CXCR4,0.725578
A38 (432C),ILC3_A38,Plasma_A38,MIF,CD74,0.639061
A38 (432C),ILC3_A38,Plasma_A38,TNF,TNFRSF1A,0.271626
A38 (432C),ILC3_A38,Plasma_A38,EGF,EGFR,0.039423
A38 (432C),ILC3_A38,Plasma_A38,AREG,EGFR,0.474927
A38 (432C),ILC3_A38,Plasma_A38,LTB,LTBR,0.65398
A38 (432C),Mono_A38,B-mem_A38,CCL5,CCR1,0.396247
A38 (432C),Mono_A38,B-mem_A38,LTB,LTBR,0.234284
A38 (432C),Mono_A38,B-mem_A38,C3,C3AR1,0.436849
A38 (432C),Mono_A38,B-mem_A38,CSF1,CSF1R,0.482222
A38 (432C),Mono_A38,T-CD8_A38,MDK,LRP1,0.534854
A38 (432C),Mono_A38,T-CD8_A38,LTB,LTBR,0.372989
A38 (432C),Mono_A38,T-CD8_A38,WNT5A,FZD1,0.33425
A38 (432C),Mono_A38,T-CD8_A38,EFNA1,EPHA2,0.344382
A38 (432C),Mono_A38,T-CD8_A38,FGF2,FGFR1,0.345465
A38 (432C),Mono_A38,T-CD8_A38,BMP4,BMPR1A,0.32676
A38 (432C),DC_A38,Plasma_A38,DLL1,NOTCH1,0.264841
A38 (432C),DC_A38,Plasma_A38,PDGFB,PDGFRB,0.365953
A38 (432C),DC_A38,Plasma_A38,BMP4,BMPR1A,0.001
A38 (432C),DC_A38,Plasma_A38,HLA-E,KLRC1,0.581699
A38 (432C),DC_A38,Plasma_A38,FAM3C,HLA-C,0.582732
A38 (432C),Stromal-Intestine_A38,ILC3_A38,GRN,SORT1,0.945554
A38 (432C),Stromal-Intestine_A38,ILC3_A38,EGF,EGFR,0.153234
A38 (432C),Stromal-Intestine_A38,ILC3_A38,TGFB1,TGFBR1,0.550668
A38 (432C),Plasma_A38,T-CD4_A38,FAM3C,HLA-C,0.495837
A38 (432C),Plasma_A38,T-CD4_A38,HLA-E,KLRC1,0.469383
A38 (432C),Plasma_A38,T-CD4_A38,GRN,SORT1,0.496718
A38 (432C),NK_A38,ILC3_A38,LTB,LTBR,0.502212
A38 (432C),NK_A38,ILC3_A38,TNF,TNFRSF1A,0.001
A38 (432C),NK_A38,ILC3_A38,AREG,EGFR,0.343756
A38 (432C),NK_A38,ILC3_A38,IL6,IL6R,0.017534
A38 (432C),NK_A38,ILC3_A38,RPS19,C5AR1,0.59448
A38 (432C),NK_A38,ILC3_A38,FAM3C,HLA-C,0.642221
A38 (432C),ILC3_A38,B-mem_A38,IGF1,IGF1R,0.231297
A38 (432C),ILC3_A38,B-mem_A38,MIF,CD74,0.440806
A38 (432C),ILC3_A38,B-mem_A38,LGALS9,MRC1,0.645681
A38 (432C),ILC3_A38,B-mem_A38,LILRB4,LAIR1,0.531896
A38 (432C),ILC3_A38,B-mem_A38,MDK,LRP1,0.587718
A38 (432C),B-mem_A38,Mac_A38,BMP4,BMPR1A,0.318198
A38 (432C),B-mem_A38,Mac_A38,APP,CD74,0.50522
A38 (432C),B-mem_A38,Mac_A38,HGF,MET,0.326349
A38 (432C),B-mem_A38,Mac_A38,CSF1,CSF1R,0.439084
A38 (432C),B-mem_A38,Mac_A38,AREG,EGFR,0.591573
A38 (432C),B-mem_A38,Mac_A38,IGF1,IGF1R,0.187751
A38 (432C),B-mem_A38,Mac_A38,LILRB4,LAIR1,0.415144
A38 (432C),Plasma_A38,Endo_A38,TGFB1,TGFBR1,0.476847
A38 (432C),Plasma_A38,Endo_A38,CDH1,ITGB1,0.001
A38 (432C),Plasma_A38,Endo_A38,PDGFB,PDGFRB,0.474498
A30 (398B),Stromal-Intestine_A30,B-mem_A30,LTB,LTBR,0.604569
A30 (398B),Stromal-Intestine_A30,B-mem_A30,SPP1,CD44,0.349332
A30 (398B),Stromal-Intestine_A30,B-mem_A30,CDH1,ITGB1,0.262586
A30 (398B),Stromal-Intestine_A30,B-mem_A30,TGFB1,TGFBR1,0.315064
A30 (398B),DC_A30,T-gamma/delta_A30,CCL5,CCR1,0.501041
A30 (398B),DC_A30,T-gamma/delta_A30,AREG,EGFR,0.5056
A30 (398B),DC_A30,T-gamma/delta_A30,IGF1,IGF1R,0.213178
A30 (398B),DC_A30,T-gamma/delta_A30,IL6,IL6R,0.379863
A30 (398B),DC_A30,B-naive_A30,TNFSF13B,HLA-DPB1,0.249035
A30 (398B),DC_A30,B-naive_A30,VEGFA,KDR,0.444968
A30 (398B),DC_A30,B-naive_A30,WNT5A,FZD1,0.311768
A30 (398B),DC_A30,B-naive_A30,JAG1,NOTCH2,0.30359
A30 (398B),Plasma_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.264261
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CCL5,CCR1,0.421704
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.39645
A30 (398B),T-CD4_A30,DC_A30,SPP1,CD44,0.457734
A30 (398B),T-CD4_A30,DC_A30,AREG,EGFR,0.463763
A30 (398B),T-CD4_A30,DC_A30,LTB,LTBR,0.576212
A30 (398B),T-CD4_A30,DC_A30,BMP4,BMPR1A,0.187616
A30 (398B),T-CD4_A30,DC_A30,RPS19,C5AR1,0.575424
A30 (398B),B-naive_A30,DC_A30,JAG1,NOTCH2,0.344187
A30 (398B),B-naive_A30,DC_A30,AREG,EGFR,0.462021
A30 (398B),B-naive_A30,DC_A30,CSF1,CSF1R,0.551901
A30 (398B),B-naive_A30,DC_A30,CXCL12,CXCR4,0.652602
A30 (398B),B-naive_A30,DC_A30,SPP1,CD44,0.618986
A30 (398B),B-naive_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.183627
A30 (398B),B-naive_A30,Epi-Intestine_A30,PDGFB,PDGFRB,0.270323
A30 (398B),B-naive_A30,Epi-Intestine_A30,WNT5A,FZD1,0.025802
A30 (398B),B-naive_A30,Epi-Intestine_A30,C3,C3AR1,0.664003
A30 (398B),B-naive_A30,Plasma_A30,EFNA1,EPHA2,0.325624
A30 (398B),B-naive_A30,Plasma_A30,CD99,PILRA,0.562082
A30 (398B),B-naive_A30,Plasma_A30,APP,CD74,0.311009
A30 (398B),B-naive_A30,Plasma_A30,MIF,CD74,0.686586
A30 (398B),B-naive_A30,Plasma_A30,MDK,LRP1,0.527624
A30 (398B),B-naive_A30,T-CD4_A30,LGALS9,MRC1,0.747729
A30 (398B),B-naive_A30,T-CD4_A30,HLA-E,KLRC1,0.652207
A30 (398B),B-naive_A30,T-CD4_A30,EFNA1,EPHA2,0.254383
A30 (398B),B-naive_A30,T-CD4_A30,LTB,LTBR,0.574516
A30 (398B),B-naive_A30,T-CD4_A30,IL6,IL6R,0.180387
A30 (398B),B-naive_A30,T-CD4_A30,PDGFB,PDGFRB,0.371651
A30 (398B),DC_A30,Mono_A30,DLL1,NOTCH1,0.45822
A30 (398B),DC_A30,Mono_A30,C3,C3AR1,0.638071
A30 (398B),DC_A30,Mono_A30,FAM3C,HLA-C,0.73855
A30 (398B),DC_A30,Mono_A30,RPS19,C5AR1,0.369082
A30 (398B),DC_A30,Mono_A30,VEGFA,KDR,0.239427
A30 (398B),DC_A30,Mono_A30,BMP4,BMPR1A,0.124468
A30 (398B),DC_A30,Mono_A30,HLA-E,KLRC1,0.807383
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.696215
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,EGF,EGFR,0.229462
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TGFB1,TGFBR1,0.270363
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,APP,CD74,0.441235
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,HGF,MET,0.226335
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.443109
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,MDK,LRP1,0.556756
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.001
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.643602
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.426286
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,JAG1,NOTCH2,0.247254
A30 (398B),Mac_A30,T-CD8_A30,VEGFA,KDR,0.304207
A30 (398B),Mac_A30,T-CD8_A30,IGF1,IGF1R,0.266386
A30 (398B),Mac_A30,T-CD8_A30,CCL3,CCR1,0.68127
A30 (398B),Mac_A30,T-CD8_A30,LTB,LTBR,0.566733
A30 (398B),Mac_A30,T-CD8_A30,EGF,EGFR,0.061148
A30 (398B),Mac_A30,T-CD8_A30,TNF,TNFRSF1A,0.095585
A30 (398B),Endo_A30,NK_A30,CXCL12,CXCR4,0.416135
A30 (398B),Endo_A30,NK_A30,CDH1,ITGB1,0.281672
A30 (398B),Endo_A30,NK_A30,CCL5,CCR1,0.269825
A30 (398B),Endo_A30,NK_A30,LTB,LTBR,0.50424
A30 (398B),Endo_A30,NK_A30,CD99,PILRA,0.59042
A30 (398B),Endo_A30,NK_A30,TNF,TNFRSF1A,0.125942
A30 (398B),Endo_A30,NK_A30,AREG,EGFR,0.464298
A30 (398B),T-CD8_A30,Mast_A30,EFNA1,EPHA2,0.243706
A30 (398B),T-CD8_A30,Mast_A30,LTB,LTBR,0.485696
A30 (398B),T-CD8_A30,Mast_A30,APP,CD74,0.416091
A30 (398B),B-naive_A30,T-gamma/delta_A30,EGF,EGFR,0.412971
A30 (398B),B-naive_A30,T-gamma/delta_A30,MDK,LRP1,0.633754
A30 (398B),B-naive_A30,T-gamma/delta_A30,JAG1,NOTCH2,0.478957
A30 (398B),B-naive_A30,T-gamma/delta_A30,SPP1,CD44,0.583332
A30 (398B),B-naive_A30,T-gamma/delta_A30,TGFB1,TGFBR1,0.363001
A30 (398B),B-naive_A30,T-gamma/delta_A30,TNF,TNFRSF1A,0.180559
A30 (398B),B-naive_A30,T-gamma/delta_A30,APP,CD74,0.498643
A30 (398B),Stromal-Intestine_A30,NK_A30,TGFB1,TGFBR1,0.441847
A30 (398B),Stromal-Intestine_A30,NK_A30,RPS19,C5AR1,0.550745
A30 (398B),Stromal-Intestine_A30,NK_A30,IL6,IL6R,0.559397
A30 (398B),Stromal-Intestine_A30,NK_A30,GRN,SORT1,0.690742
A30 (398B),Stromal-Intestine_A30,NK_A30,BMP4,BMPR1A,0.592024
A30 (398B),Stromal-Intestine_A30,NK_A30,FAM3C,HLA-C,0.583655
A30 (398B),Stromal-Intestine_A30,NK_A30,LGALS9,MRC1,0.583671
A30 (398B),Mast_A30,Endo_A30,RPS19,C5AR1,0.572169
A30 (398B),Mast_A30,Endo_A30,LILRB4,LAIR1,0.543635
A30 (398B),Mast_A30,Endo_A30,HGF,MET,0.364144
A30 (398B),T-gamma/delta_A30,Plasma_A30,EGF,EGFR,0.222152
A30 (398B),T-gamma/delta_A30,Plasma_A30,IGF1,IGF1R,0.559457
A30 (398B),T-gamma/delta_A30,Plasma_A30,FGF2,FGFR1,0.184362
A30 (398B),T-gamma/delta_A30,Plasma_A30,HGF,MET,0.338685
A30 (398B),T-gamma/delta_A30,Plasma_A30,CSF1,CSF1R,0.435979
A30 (398B),T-gamma/delta_A30,Plasma_A30,MIF,CD74,0.541663
A30 (398B),B-mem_A30,Stromal-Intestine_A30,CDH1,ITGB1,0.393178
A30 (398B),B-mem_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.571949
A30 (398B),B-mem_A30,Stromal-Intestine_A30,AREG,EGFR,0.727092
A30 (398B),B-mem_A30,Stromal-Intestine_A30,LILRB4,LAIR1,0.582183
A30 (398B),B-mem_A30,Stromal-Intestine_A30,VEGFA,KDR,0.241457
A30 (398B),B-mem_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.184608
A30 (398B),Mono_A30,Endo_A30,CSF1,CSF1R,0.469494
A30 (398B),Mono_A30,Endo_A30,MIF,CD74,0.358427
A30 (398B),Mono_A30,Endo_A30,IL6,IL6R,0.385948
A30 (398B),Mono_A30,Endo_A30,MDK,LRP1,0.350732
A30 (398B),Mono_A30,Endo_A30,FGF2,FGFR1,0.054059
A30 (398B),Mono_A30,Endo_A30,CCL3,CCR1,0.308244
A30 (398B),Plasma_A30,B-mem_A30,CCL5,CCR1,0.505641
A30 (398B),Plasma_A30,B-mem_A30,WNT5A,FZD1,0.283734
A30 (398B),Plasma_A30,B-mem_A30,JAG1,NOTCH2,0.427743
A30 (398B),Plasma_A30,B-mem_A30,FAM3C,HLA-C,0.510133
A30 (398B),Plasma_A30,B-mem_A30,FGF2,FGFR1,0.549519
A30 (398B),Mac_A30,B-mem_A30,LGALS9,MRC1,0.246778
A30 (398B),Mac_A30,B-mem_A30,CDH1,ITGB1,0.050451
A30 (398B),Mac_A30,B-mem_A30,CXCL12,CXCR4,0.639135
A30 (398B),Mac_A30,B-mem_A30,EGF,EGFR,0.391944
A30 (398B),Mac_A30,B-mem_A30,VEGFA,KDR,0.450291
A30 (398B),Mac_A30,ILC3_A30,COPA,CD74,0.709594
A30 (398B),Mac_A30,ILC3_A30,CCL5,CCR1,0.363266
A30 (398B),Mac_A30,ILC3_A30,CSF1,CSF1R,0.660614
A30 (398B),Mac_A30,ILC3_A30,JAG1,NOTCH2,0.064913
A30 (398B),T-CD8_A30,Mac_A30,WNT5A,FZD1,0.358292
A30 (398B),T-CD8_A30,Mac_A30,RPS19,C5AR1,0.660232
A30 (398B),T-CD8_A30,Mac_A30,GRN,SORT1,0.647284
A30 (398B),T-CD8_A30,Mac_A30,EGF,EGFR,0.313791
A30 (398B),T-CD8_A30,Mac_A30,CCL5,CCR1,0.554715
A30 (398B),T-gamma/delta_A30,DC_A30,LTB,LTBR,0.573011
A30 (398B),T-gamma/delta_A30,DC_A30,HGF,MET,0.279285
A30 (398B),T-gamma/delta_A30,DC_A30,CCL5,CCR1,0.57145
A30 (398B),T-gamma/delta_A30,DC_A30,LGALS9,MRC1,0.331503
A30 (398B),T-gamma/delta_A30,DC_A30,MDK,LRP1,0.338614
A30 (398B),T-gamma/delta_A30,DC_A30,EGF,EGFR,0.05142
A30 (398B),T-gamma/delta_A30,DC_A30,CCL3,CCR1,0.553243
A30 (398B),T-CD8_A30,B-naive_A30,HLA-E,KLRC1,0.729162
A30 (398B),T-CD8_A30,B-naive_A30,CSF1,CSF1R,0.663601
A30 (398B),T-CD8_A30,B-naive_A30,EGF,EGFR,0.001
A30 (398B),T-CD8_A30,B-naive_A30,MIF,CD74,0.37047
A30 (398B),T-CD8_A30,B-naive_A30,FGF2,FGFR1,0.290505
A30 (398B),T-CD8_A30,B-naive_A30,COPA,CD74,0.780848
A30 (398B),T-CD8_A30,B-naive_A30,PDGFB,PDGFRB,0.275359
A30 (398B),T-gamma/delta_A30,Mac_A30,TGFB1,TGFBR1,0.457378
A30 (398B),T-gamma/delta_A30,Mac_A30,TNFSF13B,HLA-DPB1,0.420204
A30 (398B),T-gamma/delta_A30,Mac_A30,GRN,SORT1,0.314195
A30 (398B),T-gamma/delta_A30,Mac_A30,CD99,PILRA,0.681325
A30 (398B),T-gamma/delta_A30,Mac_A30,WNT5A,FZD1,0.473713
A30 (398B),Mono_A30,Mast_A30,EFNA1,EPHA2,0.244862
A30 (398B),Mono_A30,Mast_A30,CDH1,ITGB1,0.238847
A30 (398B),Mono_A30,Mast_A30,MIF,CD74,0.610023
A30 (398B),Mono_A30,Mast_A30,LGALS9,MRC1,0.665183
A30 (398B),Mono_A30,Mast_A30,MDK,LRP1,0.688045
A30 (398B),Mono_A30,Epi-Intestine_A30,IL6,IL6R,0.259905
A30 (398B),Mono_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.10854
A30 (398B),Mono_A30,Epi-Intestine_A30,TNFSF13B,HLA-DPB1,0.466794
A30 (398B),Mono_A30,Epi-Intestine_A30,CXCL12,CXCR4,0.42569
A30 (398B),Mono_A30,Epi-Intestine_A30,JAG1,NOTCH2,0.171465
A30 (398B),ILC3_A30,T-CD8_A30,TNFSF13B,HLA-DPB1,0.529238
A30 (398B),ILC3_A30,T-CD8_A30,IGF1,IGF1R,0.51091
A30 (398B),ILC3_A30,T-CD8_A30,CXCL12,CXCR4,0.811756
A30 (398B),ILC3_A30,T-CD8_A30,CCL5,CCR1,0.340321
A30 (398B),ILC3_A30,T-CD8_A30,SPP1,CD44,0.310812
A30 (398B),ILC3_A30,T-CD8_A30,TNF,TNFRSF1A,0.385349
A30 (398B),T-CD4_A30,Mono_A30,CDH1,ITGB1,0.198518
A30 (398B),T-CD4_A30,Mono_A30,CXCL12,CXCR4,0.153973
A30 (398B),T-CD4_A30,Mono_A30,SPP1,CD44,0.403695
A30 (398B),T-CD4_A30,Mono_A30,TGFB1,TGFBR1,0.14483
A30 (398B),Epi-Intestine_A30,B-mem_A30,EFNA1,EPHA2,0.327215
A30 (398B),Epi-Intestine_A30,B-mem_A30,IGF1,IGF1R,0.316998
A30 (398B),Epi-Intestine_A30,B-mem_A30,PDGFB,PDGFRB,0.30397
A30 (398B),Epi-Intestine_A30,B-mem_A30,CSF1,CSF1R,0.655541
A30 (398B),Epi-Intestine_A30,B-mem_A30,CXCL12,CXCR4,0.429544
A30 (398B),Stromal-Intestine_A30,Mono_A30,CDH1,ITGB1,0.085546
A30 (398B),Stromal-Intestine_A30,Mono_A30,TNFSF13B,HLA-DPB1,0.401688
A30 (398B),Stromal-Intestine_A30,Mono_A30,IGF1,IGF1R,0.225006
A30 (398B),Stromal-Intestine_A30,Mono_A30,CCL5,CCR1,0.600793
A30 (398B),Stromal-Intestine_A30,Mono_A30,BMP4,BMPR1A,0.201609
A30 (398B),Stromal-Intestine_A30,Mono_A30,TGFB1,TGFBR1,0.396781
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,GRN,SORT1,0.252363
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.403684
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.361731
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,HGF,MET,0.311162
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,IL6,IL6R,0.345134
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,CCL3,CCR1,0.375468
A30 (398B),Endo_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.42851
A30 (398B),Endo_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.754545
A30 (398B),Endo_A30,Stromal-Intestine_A30,FGF2,FGFR1,0.356775
A30 (398B),Endo_A30,Stromal-Intestine_A30,RPS19,C5AR1,0.861526
A30 (398B),T-CD8_A30,T-gamma/delta_A30,LGALS9,MRC1,0.619286
A30 (398B),T-CD8_A30,T-gamma/delta_A30,BMP4,BMPR1A,0.239032
A30 (398B),T-CD8_A30,T-gamma/delta_A30,AREG,EGFR,0.773316
A30 (398B),DC_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.480715
A30 (398B),DC_A30,Epi-Intestine_A30,FAM3C,HLA-C,0.782677
A30 (398B),DC_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.227381
A30 (398B),DC_A30,Epi-Intestine_A30,HLA-E,KLRC1,0.455726
A30 (398B),T-CD8_A30,ILC3_A30,CSF1,CSF1R,0.486805
A30 (398B),T-CD8_A30,ILC3_A30,RPS19,C5AR1,0.531491
A30 (398B),T-CD8_A30,ILC3_A30,EFNA1,EPHA2,0.178295
A30 (398B),T-CD8_A30,ILC3_A30,C3,C3AR1,0.419621
A30 (398B),T-CD8_A30,ILC3_A30,IGF1,IGF1R,0.320342
A30 (398B),DC_A30,Stromal-Intestine_A30,EGF,EGFR,0.275115
A30 (398B),DC_A30,Stromal-Intestine_A30,DLL1,NOTCH1,0.070196
A30 (398B),DC_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.53427
A30 (398B),DC_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.612323
A30 (398B),DC_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.596752
A30 (398B),DC_A30,Stromal-Intestine_A30,CCL3,CCR1,0.513747
A30 (398B),DC_A30,Stromal-Intestine_A30,AREG,EGFR,0.731103
