patient_id,source,target,ligand,receptor,weight_sc
A38 (432C),Mono_A38,Endo_A38,MIF,CD74,0.358347
A38 (432C),Mono_A38,Endo_A38,FAM3C,HLA-C,0.392831
A38 (432C),Mono_A38,Endo_A38,WNT5A,FZD1,0.282419
A38 (432C),Mono_A38,Endo_A38,CDH1,ITGB1,0.285091
A38 (432C),Mono_A38,Endo_A38,TNF,TNFRSF1A,0.364099
A38 (432C),Endo_A38,DC_A38,GRN,SORT1,0.269172
A38 (432C),Endo_A38,DC_A38,HGF,MET,0.328024
A38 (432C),Endo_A38,DC_A38,FAM3C,HLA-C,0.481556
A38 (432C),Endo_A38,DC_A38,LTB,LTBR,0.276365
A38 (432C),Endo_A38,DC_A38,MIF,CD74,0.340673
A38 (432C),NK_A38,B-mem_A38,IGF1,IGF1R,0.311516
A38 (432C),NK_A38,B-mem_A38,LILRB4,LAIR1,0.257215
A38 (432C),NK_A38,B-mem_A38,FAM3C,HLA-C,0.343789
A38 (432C),NK_A38,B-mem_A38,LTB,LTBR,0.629169
A38 (432C),NK_A38,B-mem_A38,RPS19,C5AR1,0.064264
A38 (432C),NK_A38,B-mem_A38,EGF,EGFR,0.105957
A38 (432C),NK_A38,B-mem_A38,HLA-E,KLRC1,0.434628
A38 (432C),Endo_A38,Mast_A38,FGF2,FGFR1,0.049061
A38 (432C),Endo_A38,Mast_A38,JAG1,NOTCH2,0.157215
A38 (432C),Endo_A38,Mast_A38,SPP1,CD44,0.238718
A38 (432C),Mac_A38,B-naive_A38,MDK,LRP1,0.557216
A38 (432C),Mac_A38,B-naive_A38,HLA-E,KLRC1,0.530201
A38 (432C),Mac_A38,B-naive_A38,CDH1,ITGB1,0.071562
A38 (432C),Mac_A38,B-naive_A38,FAM3C,HLA-C,0.325292
A38 (432C),Mac_A38,B-naive_A38,WNT5A,FZD1,0.066548
A38 (432C),Mac_A38,B-naive_A38,LILRB4,LAIR1,0.427154
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MIF,CD74,0.605063
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,COPA,CD74,0.335714
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CDH1,ITGB1,0.001
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MDK,LRP1,0.511843
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,APP,CD74,0.470216
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,DLL1,NOTCH1,0.092649
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CXCL12,CXCR4,0.390416
A38 (432C),ILC3_A38,Plasma_A38,MIF,CD74,0.122116
A38 (432C),ILC3_A38,Plasma_A38,TNF,TNFRSF1A,0.236937
A38 (432C),ILC3_A38,Plasma_A38,EGF,EGFR,0.08555
A38 (432C),ILC3_A38,Plasma_A38,AREG,EGFR,0.356794
A38 (432C),ILC3_A38,Plasma_A38,LTB,LTBR,0.442488
A38 (432C),Mono_A38,B-mem_A38,CCL5,CCR1,0.472037
A38 (432C),Mono_A38,B-mem_A38,LTB,LTBR,0.573644
A38 (432C),Mono_A38,B-mem_A38,C3,C3AR1,0.432206
A38 (432C),Mono_A38,B-mem_A38,CSF1,CSF1R,0.322859
A38 (432C),Mono_A38,T-CD8_A38,MDK,LRP1,0.555219
A38 (432C),Mono_A38,T-CD8_A38,LTB,LTBR,0.292565
A38 (432C),Mono_A38,T-CD8_A38,WNT5A,FZD1,0.316281
A38 (432C),Mono_A38,T-CD8_A38,EFNA1,EPHA2,0.338642
A38 (432C),Mono_A38,T-CD8_A38,FGF2,FGFR1,0.388839
A38 (432C),Mono_A38,T-CD8_A38,BMP4,BMPR1A,0.233695
A38 (432C),DC_A38,Plasma_A38,DLL1,NOTCH1,0.287878
A38 (432C),DC_A38,Plasma_A38,PDGFB,PDGFRB,0.418961
A38 (432C),DC_A38,Plasma_A38,BMP4,BMPR1A,0.09102
A38 (432C),DC_A38,Plasma_A38,HLA-E,KLRC1,0.397437
A38 (432C),DC_A38,Plasma_A38,FAM3C,HLA-C,0.444389
A38 (432C),Stromal-Intestine_A38,ILC3_A38,GRN,SORT1,0.430661
A38 (432C),Stromal-Intestine_A38,ILC3_A38,EGF,EGFR,0.17779
A38 (432C),Stromal-Intestine_A38,ILC3_A38,TGFB1,TGFBR1,0.327948
A38 (432C),Plasma_A38,T-CD4_A38,FAM3C,HLA-C,0.283287
A38 (432C),Plasma_A38,T-CD4_A38,HLA-E,KLRC1,0.468147
A38 (432C),Plasma_A38,T-CD4_A38,GRN,SORT1,0.502485
A38 (432C),NK_A38,ILC3_A38,LTB,LTBR,0.301104
A38 (432C),NK_A38,ILC3_A38,TNF,TNFRSF1A,0.12483
A38 (432C),NK_A38,ILC3_A38,AREG,EGFR,0.369276
A38 (432C),NK_A38,ILC3_A38,IL6,IL6R,0.230276
A38 (432C),NK_A38,ILC3_A38,RPS19,C5AR1,0.354037
A38 (432C),NK_A38,ILC3_A38,FAM3C,HLA-C,0.31781
A38 (432C),ILC3_A38,B-mem_A38,IGF1,IGF1R,0.254162
A38 (432C),ILC3_A38,B-mem_A38,MIF,CD74,0.177339
A38 (432C),ILC3_A38,B-mem_A38,LGALS9,MRC1,0.211621
A38 (432C),ILC3_A38,B-mem_A38,LILRB4,LAIR1,0.482616
A38 (432C),ILC3_A38,B-mem_A38,MDK,LRP1,0.64502
A38 (432C),B-mem_A38,Mac_A38,BMP4,BMPR1A,0.231474
A38 (432C),B-mem_A38,Mac_A38,APP,CD74,0.372609
A38 (432C),B-mem_A38,Mac_A38,HGF,MET,0.128692
A38 (432C),B-mem_A38,Mac_A38,CSF1,CSF1R,0.462494
A38 (432C),B-mem_A38,Mac_A38,AREG,EGFR,0.278802
A38 (432C),B-mem_A38,Mac_A38,IGF1,IGF1R,0.296675
A38 (432C),B-mem_A38,Mac_A38,LILRB4,LAIR1,0.385019
A38 (432C),Plasma_A38,Endo_A38,TGFB1,TGFBR1,0.001
A38 (432C),Plasma_A38,Endo_A38,CDH1,ITGB1,0.001
A38 (432C),Plasma_A38,Endo_A38,PDGFB,PDGFRB,0.001
A30 (398B),Stromal-Intestine_A30,B-mem_A30,LTB,LTBR,0.301952
A30 (398B),Stromal-Intestine_A30,B-mem_A30,SPP1,CD44,0.338774
A30 (398B),Stromal-Intestine_A30,B-mem_A30,CDH1,ITGB1,0.116238
A30 (398B),Stromal-Intestine_A30,B-mem_A30,TGFB1,TGFBR1,0.340659
A30 (398B),DC_A30,T-gamma/delta_A30,CCL5,CCR1,0.342756
A30 (398B),DC_A30,T-gamma/delta_A30,AREG,EGFR,0.539489
A30 (398B),DC_A30,T-gamma/delta_A30,IGF1,IGF1R,0.364213
A30 (398B),DC_A30,T-gamma/delta_A30,IL6,IL6R,0.257248
A30 (398B),DC_A30,B-naive_A30,TNFSF13B,HLA-DPB1,0.352569
A30 (398B),DC_A30,B-naive_A30,VEGFA,KDR,0.105445
A30 (398B),DC_A30,B-naive_A30,WNT5A,FZD1,0.247729
A30 (398B),DC_A30,B-naive_A30,JAG1,NOTCH2,0.222719
A30 (398B),Plasma_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.206741
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CCL5,CCR1,0.310696
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.345488
A30 (398B),T-CD4_A30,DC_A30,SPP1,CD44,0.346059
A30 (398B),T-CD4_A30,DC_A30,AREG,EGFR,0.301557
A30 (398B),T-CD4_A30,DC_A30,LTB,LTBR,0.362101
A30 (398B),T-CD4_A30,DC_A30,BMP4,BMPR1A,0.048128
A30 (398B),T-CD4_A30,DC_A30,RPS19,C5AR1,0.348314
A30 (398B),B-naive_A30,DC_A30,JAG1,NOTCH2,0.198148
A30 (398B),B-naive_A30,DC_A30,AREG,EGFR,0.485196
A30 (398B),B-naive_A30,DC_A30,CSF1,CSF1R,0.383361
A30 (398B),B-naive_A30,DC_A30,CXCL12,CXCR4,0.433331
A30 (398B),B-naive_A30,DC_A30,SPP1,CD44,0.378031
A30 (398B),B-naive_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.235095
A30 (398B),B-naive_A30,Epi-Intestine_A30,PDGFB,PDGFRB,0.180087
A30 (398B),B-naive_A30,Epi-Intestine_A30,WNT5A,FZD1,0.350973
A30 (398B),B-naive_A30,Epi-Intestine_A30,C3,C3AR1,0.467796
A30 (398B),B-naive_A30,Plasma_A30,EFNA1,EPHA2,0.188753
A30 (398B),B-naive_A30,Plasma_A30,CD99,PILRA,0.515519
A30 (398B),B-naive_A30,Plasma_A30,APP,CD74,0.656829
A30 (398B),B-naive_A30,Plasma_A30,MIF,CD74,0.398957
A30 (398B),B-naive_A30,Plasma_A30,MDK,LRP1,0.328502
A30 (398B),B-naive_A30,T-CD4_A30,LGALS9,MRC1,0.288302
A30 (398B),B-naive_A30,T-CD4_A30,HLA-E,KLRC1,0.32061
A30 (398B),B-naive_A30,T-CD4_A30,EFNA1,EPHA2,0.357235
A30 (398B),B-naive_A30,T-CD4_A30,LTB,LTBR,0.452712
A30 (398B),B-naive_A30,T-CD4_A30,IL6,IL6R,0.181042
A30 (398B),B-naive_A30,T-CD4_A30,PDGFB,PDGFRB,0.20569
A30 (398B),DC_A30,Mono_A30,DLL1,NOTCH1,0.001
A30 (398B),DC_A30,Mono_A30,C3,C3AR1,0.457953
A30 (398B),DC_A30,Mono_A30,FAM3C,HLA-C,0.402911
A30 (398B),DC_A30,Mono_A30,RPS19,C5AR1,0.481101
A30 (398B),DC_A30,Mono_A30,VEGFA,KDR,0.102665
A30 (398B),DC_A30,Mono_A30,BMP4,BMPR1A,0.264712
A30 (398B),DC_A30,Mono_A30,HLA-E,KLRC1,0.599975
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.497186
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,EGF,EGFR,0.199359
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TGFB1,TGFBR1,0.258766
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,APP,CD74,0.213678
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,HGF,MET,0.326988
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.072165
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,MDK,LRP1,0.317892
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.152979
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.38793
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.308416
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,JAG1,NOTCH2,0.232371
A30 (398B),Mac_A30,T-CD8_A30,VEGFA,KDR,0.359135
A30 (398B),Mac_A30,T-CD8_A30,IGF1,IGF1R,0.243908
A30 (398B),Mac_A30,T-CD8_A30,CCL3,CCR1,0.495897
A30 (398B),Mac_A30,T-CD8_A30,LTB,LTBR,0.486766
A30 (398B),Mac_A30,T-CD8_A30,EGF,EGFR,0.042542
A30 (398B),Mac_A30,T-CD8_A30,TNF,TNFRSF1A,0.47784
A30 (398B),Endo_A30,NK_A30,CXCL12,CXCR4,0.481856
A30 (398B),Endo_A30,NK_A30,CDH1,ITGB1,0.154817
A30 (398B),Endo_A30,NK_A30,CCL5,CCR1,0.15974
A30 (398B),Endo_A30,NK_A30,LTB,LTBR,0.406775
A30 (398B),Endo_A30,NK_A30,CD99,PILRA,0.309649
A30 (398B),Endo_A30,NK_A30,TNF,TNFRSF1A,0.220435
A30 (398B),Endo_A30,NK_A30,AREG,EGFR,0.506508
A30 (398B),T-CD8_A30,Mast_A30,EFNA1,EPHA2,0.298658
A30 (398B),T-CD8_A30,Mast_A30,LTB,LTBR,0.584433
A30 (398B),T-CD8_A30,Mast_A30,APP,CD74,0.25578
A30 (398B),B-naive_A30,T-gamma/delta_A30,EGF,EGFR,0.525378
A30 (398B),B-naive_A30,T-gamma/delta_A30,MDK,LRP1,0.238069
A30 (398B),B-naive_A30,T-gamma/delta_A30,JAG1,NOTCH2,0.089272
A30 (398B),B-naive_A30,T-gamma/delta_A30,SPP1,CD44,0.369448
A30 (398B),B-naive_A30,T-gamma/delta_A30,TGFB1,TGFBR1,0.119009
A30 (398B),B-naive_A30,T-gamma/delta_A30,TNF,TNFRSF1A,0.118493
A30 (398B),B-naive_A30,T-gamma/delta_A30,APP,CD74,0.541186
A30 (398B),Stromal-Intestine_A30,NK_A30,TGFB1,TGFBR1,0.081371
A30 (398B),Stromal-Intestine_A30,NK_A30,RPS19,C5AR1,0.335971
A30 (398B),Stromal-Intestine_A30,NK_A30,IL6,IL6R,0.225846
A30 (398B),Stromal-Intestine_A30,NK_A30,GRN,SORT1,0.17047
A30 (398B),Stromal-Intestine_A30,NK_A30,BMP4,BMPR1A,0.097244
A30 (398B),Stromal-Intestine_A30,NK_A30,FAM3C,HLA-C,0.432462
A30 (398B),Stromal-Intestine_A30,NK_A30,LGALS9,MRC1,0.458825
A30 (398B),Mast_A30,Endo_A30,RPS19,C5AR1,0.507027
A30 (398B),Mast_A30,Endo_A30,LILRB4,LAIR1,0.379709
A30 (398B),Mast_A30,Endo_A30,HGF,MET,0.20945
A30 (398B),T-gamma/delta_A30,Plasma_A30,EGF,EGFR,0.401417
A30 (398B),T-gamma/delta_A30,Plasma_A30,IGF1,IGF1R,0.121159
A30 (398B),T-gamma/delta_A30,Plasma_A30,FGF2,FGFR1,0.315357
A30 (398B),T-gamma/delta_A30,Plasma_A30,HGF,MET,0.205631
A30 (398B),T-gamma/delta_A30,Plasma_A30,CSF1,CSF1R,0.625982
A30 (398B),T-gamma/delta_A30,Plasma_A30,MIF,CD74,0.436781
A30 (398B),B-mem_A30,Stromal-Intestine_A30,CDH1,ITGB1,0.062472
A30 (398B),B-mem_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.416018
A30 (398B),B-mem_A30,Stromal-Intestine_A30,AREG,EGFR,0.523383
A30 (398B),B-mem_A30,Stromal-Intestine_A30,LILRB4,LAIR1,0.368812
A30 (398B),B-mem_A30,Stromal-Intestine_A30,VEGFA,KDR,0.021695
A30 (398B),B-mem_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.076217
A30 (398B),Mono_A30,Endo_A30,CSF1,CSF1R,0.371101
A30 (398B),Mono_A30,Endo_A30,MIF,CD74,0.411488
A30 (398B),Mono_A30,Endo_A30,IL6,IL6R,0.32681
A30 (398B),Mono_A30,Endo_A30,MDK,LRP1,0.571927
A30 (398B),Mono_A30,Endo_A30,FGF2,FGFR1,0.217604
A30 (398B),Mono_A30,Endo_A30,CCL3,CCR1,0.461251
A30 (398B),Plasma_A30,B-mem_A30,CCL5,CCR1,0.411599
A30 (398B),Plasma_A30,B-mem_A30,WNT5A,FZD1,0.293758
A30 (398B),Plasma_A30,B-mem_A30,JAG1,NOTCH2,0.241984
A30 (398B),Plasma_A30,B-mem_A30,FAM3C,HLA-C,0.319042
A30 (398B),Plasma_A30,B-mem_A30,FGF2,FGFR1,0.378107
A30 (398B),Mac_A30,B-mem_A30,LGALS9,MRC1,0.470648
A30 (398B),Mac_A30,B-mem_A30,CDH1,ITGB1,0.090314
A30 (398B),Mac_A30,B-mem_A30,CXCL12,CXCR4,0.40809
A30 (398B),Mac_A30,B-mem_A30,EGF,EGFR,0.282095
A30 (398B),Mac_A30,B-mem_A30,VEGFA,KDR,0.050975
A30 (398B),Mac_A30,ILC3_A30,COPA,CD74,0.477093
A30 (398B),Mac_A30,ILC3_A30,CCL5,CCR1,0.580042
A30 (398B),Mac_A30,ILC3_A30,CSF1,CSF1R,0.63093
A30 (398B),Mac_A30,ILC3_A30,JAG1,NOTCH2,0.242571
A30 (398B),T-CD8_A30,Mac_A30,WNT5A,FZD1,0.300347
A30 (398B),T-CD8_A30,Mac_A30,RPS19,C5AR1,0.364563
A30 (398B),T-CD8_A30,Mac_A30,GRN,SORT1,0.501485
A30 (398B),T-CD8_A30,Mac_A30,EGF,EGFR,0.095676
A30 (398B),T-CD8_A30,Mac_A30,CCL5,CCR1,0.418923
A30 (398B),T-gamma/delta_A30,DC_A30,LTB,LTBR,0.267441
A30 (398B),T-gamma/delta_A30,DC_A30,HGF,MET,0.066114
A30 (398B),T-gamma/delta_A30,DC_A30,CCL5,CCR1,0.489144
A30 (398B),T-gamma/delta_A30,DC_A30,LGALS9,MRC1,0.106237
A30 (398B),T-gamma/delta_A30,DC_A30,MDK,LRP1,0.456504
A30 (398B),T-gamma/delta_A30,DC_A30,EGF,EGFR,0.157534
A30 (398B),T-gamma/delta_A30,DC_A30,CCL3,CCR1,0.442385
A30 (398B),T-CD8_A30,B-naive_A30,HLA-E,KLRC1,0.349878
A30 (398B),T-CD8_A30,B-naive_A30,CSF1,CSF1R,0.554778
A30 (398B),T-CD8_A30,B-naive_A30,EGF,EGFR,0.283287
A30 (398B),T-CD8_A30,B-naive_A30,MIF,CD74,0.382962
A30 (398B),T-CD8_A30,B-naive_A30,FGF2,FGFR1,0.296476
A30 (398B),T-CD8_A30,B-naive_A30,COPA,CD74,0.317372
A30 (398B),T-CD8_A30,B-naive_A30,PDGFB,PDGFRB,0.292849
A30 (398B),T-gamma/delta_A30,Mac_A30,TGFB1,TGFBR1,0.201443
A30 (398B),T-gamma/delta_A30,Mac_A30,TNFSF13B,HLA-DPB1,0.488196
A30 (398B),T-gamma/delta_A30,Mac_A30,GRN,SORT1,0.540943
A30 (398B),T-gamma/delta_A30,Mac_A30,CD99,PILRA,0.235285
A30 (398B),T-gamma/delta_A30,Mac_A30,WNT5A,FZD1,0.390266
A30 (398B),Mono_A30,Mast_A30,EFNA1,EPHA2,0.209164
A30 (398B),Mono_A30,Mast_A30,CDH1,ITGB1,0.141787
A30 (398B),Mono_A30,Mast_A30,MIF,CD74,0.398485
A30 (398B),Mono_A30,Mast_A30,LGALS9,MRC1,0.261154
A30 (398B),Mono_A30,Mast_A30,MDK,LRP1,0.626505
A30 (398B),Mono_A30,Epi-Intestine_A30,IL6,IL6R,0.174515
A30 (398B),Mono_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.066519
A30 (398B),Mono_A30,Epi-Intestine_A30,TNFSF13B,HLA-DPB1,0.383103
A30 (398B),Mono_A30,Epi-Intestine_A30,CXCL12,CXCR4,0.380781
A30 (398B),Mono_A30,Epi-Intestine_A30,JAG1,NOTCH2,0.127491
A30 (398B),ILC3_A30,T-CD8_A30,TNFSF13B,HLA-DPB1,0.378998
A30 (398B),ILC3_A30,T-CD8_A30,IGF1,IGF1R,0.338171
A30 (398B),ILC3_A30,T-CD8_A30,CXCL12,CXCR4,0.199471
A30 (398B),ILC3_A30,T-CD8_A30,CCL5,CCR1,0.242399
A30 (398B),ILC3_A30,T-CD8_A30,SPP1,CD44,0.287006
A30 (398B),ILC3_A30,T-CD8_A30,TNF,TNFRSF1A,0.270536
A30 (398B),T-CD4_A30,Mono_A30,CDH1,ITGB1,0.230224
A30 (398B),T-CD4_A30,Mono_A30,CXCL12,CXCR4,0.506138
A30 (398B),T-CD4_A30,Mono_A30,SPP1,CD44,0.430648
A30 (398B),T-CD4_A30,Mono_A30,TGFB1,TGFBR1,0.11505
A30 (398B),Epi-Intestine_A30,B-mem_A30,EFNA1,EPHA2,0.218812
A30 (398B),Epi-Intestine_A30,B-mem_A30,IGF1,IGF1R,0.442688
A30 (398B),Epi-Intestine_A30,B-mem_A30,PDGFB,PDGFRB,0.2662
A30 (398B),Epi-Intestine_A30,B-mem_A30,CSF1,CSF1R,0.41539
A30 (398B),Epi-Intestine_A30,B-mem_A30,CXCL12,CXCR4,0.500005
A30 (398B),Stromal-Intestine_A30,Mono_A30,CDH1,ITGB1,0.017891
A30 (398B),Stromal-Intestine_A30,Mono_A30,TNFSF13B,HLA-DPB1,0.50565
A30 (398B),Stromal-Intestine_A30,Mono_A30,IGF1,IGF1R,0.219761
A30 (398B),Stromal-Intestine_A30,Mono_A30,CCL5,CCR1,0.21134
A30 (398B),Stromal-Intestine_A30,Mono_A30,BMP4,BMPR1A,0.258023
A30 (398B),Stromal-Intestine_A30,Mono_A30,TGFB1,TGFBR1,0.126012
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,GRN,SORT1,0.250129
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.407164
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.347237
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,HGF,MET,0.306229
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,IL6,IL6R,0.293617
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,CCL3,CCR1,0.380026
A30 (398B),Endo_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.46218
A30 (398B),Endo_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.145816
A30 (398B),Endo_A30,Stromal-Intestine_A30,FGF2,FGFR1,0.357635
A30 (398B),Endo_A30,Stromal-Intestine_A30,RPS19,C5AR1,0.495215
A30 (398B),T-CD8_A30,T-gamma/delta_A30,LGALS9,MRC1,0.445087
A30 (398B),T-CD8_A30,T-gamma/delta_A30,BMP4,BMPR1A,0.20011
A30 (398B),T-CD8_A30,T-gamma/delta_A30,AREG,EGFR,0.230337
A30 (398B),DC_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.146028
A30 (398B),DC_A30,Epi-Intestine_A30,FAM3C,HLA-C,0.399136
A30 (398B),DC_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.38013
A30 (398B),DC_A30,Epi-Intestine_A30,HLA-E,KLRC1,0.418495
A30 (398B),T-CD8_A30,ILC3_A30,CSF1,CSF1R,0.386943
A30 (398B),T-CD8_A30,ILC3_A30,RPS19,C5AR1,0.519105
A30 (398B),T-CD8_A30,ILC3_A30,EFNA1,EPHA2,0.09881
A30 (398B),T-CD8_A30,ILC3_A30,C3,C3AR1,0.353245
A30 (398B),T-CD8_A30,ILC3_A30,IGF1,IGF1R,0.266473
A30 (398B),DC_A30,Stromal-Intestine_A30,EGF,EGFR,0.364117
A30 (398B),DC_A30,Stromal-Intestine_A30,DLL1,NOTCH1,0.082938
A30 (398B),DC_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.280732
A30 (398B),DC_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.334975
A30 (398B),DC_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.126417
A30 (398B),DC_A30,Stromal-Intestine_A30,CCL3,CCR1,0.230616
A30 (398B),DC_A30,Stromal-Intestine_A30,AREG,EGFR,0.254705
