patient_id,source,target,ligand,receptor,lr.mean
A38 (432C),Mono_A38,Endo_A38,FAM3C,HLA-C,0.265438
A38 (432C),Mono_A38,Endo_A38,WNT5A,FZD1,0.478788
A38 (432C),Mono_A38,Endo_A38,CDH1,ITGB1,0.405179
A38 (432C),Mono_A38,Endo_A38,TNF,TNFRSF1A,0.550814
A38 (432C),Endo_A38,DC_A38,GRN,SORT1,0.878064
A38 (432C),Endo_A38,DC_A38,HGF,MET,0.52546
A38 (432C),Endo_A38,DC_A38,FAM3C,HLA-C,1.0
A38 (432C),Endo_A38,DC_A38,LTB,LTBR,0.3105
A38 (432C),Endo_A38,DC_A38,MIF,CD74,0.68435
A38 (432C),NK_A38,B-mem_A38,IGF1,IGF1R,0.288685
A38 (432C),NK_A38,B-mem_A38,LILRB4,LAIR1,0.940292
A38 (432C),NK_A38,B-mem_A38,FAM3C,HLA-C,0.480731
A38 (432C),NK_A38,B-mem_A38,LTB,LTBR,0.860346
A38 (432C),NK_A38,B-mem_A38,RPS19,C5AR1,0.78088
A38 (432C),NK_A38,B-mem_A38,EGF,EGFR,0.786125
A38 (432C),NK_A38,B-mem_A38,HLA-E,KLRC1,0.658941
A38 (432C),Endo_A38,Mast_A38,FGF2,FGFR1,0.206922
A38 (432C),Endo_A38,Mast_A38,JAG1,NOTCH2,0.285718
A38 (432C),Endo_A38,Mast_A38,SPP1,CD44,0.723591
A38 (432C),Mac_A38,B-naive_A38,MDK,LRP1,1.0
A38 (432C),Mac_A38,B-naive_A38,HLA-E,KLRC1,0.790797
A38 (432C),Mac_A38,B-naive_A38,CDH1,ITGB1,0.246076
A38 (432C),Mac_A38,B-naive_A38,FAM3C,HLA-C,1.0
A38 (432C),Mac_A38,B-naive_A38,WNT5A,FZD1,0.365146
A38 (432C),Mac_A38,B-naive_A38,LILRB4,LAIR1,0.906771
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MIF,CD74,0.875636
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,COPA,CD74,0.519766
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CDH1,ITGB1,0.533515
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,MDK,LRP1,0.707695
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,APP,CD74,1.0
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,DLL1,NOTCH1,0.225449
A38 (432C),T-gamma/delta_A38,Epi-Intestine_A38,CXCL12,CXCR4,0.53252
A38 (432C),ILC3_A38,Plasma_A38,MIF,CD74,1.0
A38 (432C),ILC3_A38,Plasma_A38,TNF,TNFRSF1A,0.493599
A38 (432C),ILC3_A38,Plasma_A38,EGF,EGFR,0.527101
A38 (432C),ILC3_A38,Plasma_A38,AREG,EGFR,0.731061
A38 (432C),ILC3_A38,Plasma_A38,LTB,LTBR,0.668059
A38 (432C),Mono_A38,B-mem_A38,CCL5,CCR1,0.847637
A38 (432C),Mono_A38,B-mem_A38,LTB,LTBR,0.891648
A38 (432C),Mono_A38,B-mem_A38,C3,C3AR1,0.67485
A38 (432C),Mono_A38,B-mem_A38,CSF1,CSF1R,0.828055
A38 (432C),Mono_A38,T-CD8_A38,MDK,LRP1,0.809846
A38 (432C),Mono_A38,T-CD8_A38,LTB,LTBR,1.0
A38 (432C),Mono_A38,T-CD8_A38,WNT5A,FZD1,0.432463
A38 (432C),Mono_A38,T-CD8_A38,EFNA1,EPHA2,0.222933
A38 (432C),Mono_A38,T-CD8_A38,FGF2,FGFR1,0.194366
A38 (432C),Mono_A38,T-CD8_A38,BMP4,BMPR1A,0.606987
A38 (432C),DC_A38,Plasma_A38,DLL1,NOTCH1,0.553467
A38 (432C),DC_A38,Plasma_A38,PDGFB,PDGFRB,0.001
A38 (432C),DC_A38,Plasma_A38,BMP4,BMPR1A,0.47306
A38 (432C),DC_A38,Plasma_A38,HLA-E,KLRC1,1.0
A38 (432C),DC_A38,Plasma_A38,FAM3C,HLA-C,0.001
A38 (432C),Stromal-Intestine_A38,ILC3_A38,GRN,SORT1,0.474167
A38 (432C),Stromal-Intestine_A38,ILC3_A38,EGF,EGFR,0.679402
A38 (432C),Stromal-Intestine_A38,ILC3_A38,TGFB1,TGFBR1,0.268294
A38 (432C),Plasma_A38,T-CD4_A38,FAM3C,HLA-C,0.750094
A38 (432C),Plasma_A38,T-CD4_A38,HLA-E,KLRC1,0.911541
A38 (432C),Plasma_A38,T-CD4_A38,GRN,SORT1,0.647382
A38 (432C),NK_A38,ILC3_A38,LTB,LTBR,0.513727
A38 (432C),NK_A38,ILC3_A38,TNF,TNFRSF1A,0.220746
A38 (432C),NK_A38,ILC3_A38,AREG,EGFR,1.0
A38 (432C),NK_A38,ILC3_A38,IL6,IL6R,0.204557
A38 (432C),NK_A38,ILC3_A38,RPS19,C5AR1,0.459476
A38 (432C),NK_A38,ILC3_A38,FAM3C,HLA-C,0.888358
A38 (432C),ILC3_A38,B-mem_A38,IGF1,IGF1R,0.202396
A38 (432C),ILC3_A38,B-mem_A38,MIF,CD74,0.852937
A38 (432C),ILC3_A38,B-mem_A38,LGALS9,MRC1,0.39212
A38 (432C),ILC3_A38,B-mem_A38,LILRB4,LAIR1,0.717912
A38 (432C),ILC3_A38,B-mem_A38,MDK,LRP1,0.684133
A38 (432C),B-mem_A38,Mac_A38,BMP4,BMPR1A,0.516394
A38 (432C),B-mem_A38,Mac_A38,APP,CD74,0.58526
A38 (432C),B-mem_A38,Mac_A38,HGF,MET,0.29803
A38 (432C),B-mem_A38,Mac_A38,CSF1,CSF1R,0.68174
A38 (432C),B-mem_A38,Mac_A38,AREG,EGFR,0.601519
A38 (432C),B-mem_A38,Mac_A38,IGF1,IGF1R,0.376246
A38 (432C),B-mem_A38,Mac_A38,LILRB4,LAIR1,0.818997
A38 (432C),Plasma_A38,Endo_A38,TGFB1,TGFBR1,0.358922
A38 (432C),Plasma_A38,Endo_A38,CDH1,ITGB1,0.308893
A38 (432C),Plasma_A38,Endo_A38,PDGFB,PDGFRB,0.193016
A30 (398B),Stromal-Intestine_A30,B-mem_A30,LTB,LTBR,0.644086
A30 (398B),Stromal-Intestine_A30,B-mem_A30,SPP1,CD44,0.97865
A30 (398B),Stromal-Intestine_A30,B-mem_A30,CDH1,ITGB1,0.345999
A30 (398B),Stromal-Intestine_A30,B-mem_A30,TGFB1,TGFBR1,0.212299
A30 (398B),DC_A30,T-gamma/delta_A30,CCL5,CCR1,1.0
A30 (398B),DC_A30,T-gamma/delta_A30,AREG,EGFR,0.358633
A30 (398B),DC_A30,T-gamma/delta_A30,IGF1,IGF1R,0.695591
A30 (398B),DC_A30,T-gamma/delta_A30,IL6,IL6R,0.862681
A30 (398B),DC_A30,B-naive_A30,TNFSF13B,HLA-DPB1,1.0
A30 (398B),DC_A30,B-naive_A30,VEGFA,KDR,0.350363
A30 (398B),DC_A30,B-naive_A30,WNT5A,FZD1,0.324925
A30 (398B),DC_A30,B-naive_A30,JAG1,NOTCH2,0.59242
A30 (398B),Plasma_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.400652
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CCL5,CCR1,0.574878
A30 (398B),Plasma_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.361696
A30 (398B),T-CD4_A30,DC_A30,SPP1,CD44,0.952291
A30 (398B),T-CD4_A30,DC_A30,AREG,EGFR,0.648462
A30 (398B),T-CD4_A30,DC_A30,LTB,LTBR,0.543499
A30 (398B),T-CD4_A30,DC_A30,BMP4,BMPR1A,0.942559
A30 (398B),T-CD4_A30,DC_A30,RPS19,C5AR1,0.570219
A30 (398B),B-naive_A30,DC_A30,JAG1,NOTCH2,0.495289
A30 (398B),B-naive_A30,DC_A30,AREG,EGFR,0.575605
A30 (398B),B-naive_A30,DC_A30,CSF1,CSF1R,0.562104
A30 (398B),B-naive_A30,DC_A30,CXCL12,CXCR4,0.533701
A30 (398B),B-naive_A30,DC_A30,SPP1,CD44,0.598688
A30 (398B),B-naive_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.782495
A30 (398B),B-naive_A30,Epi-Intestine_A30,PDGFB,PDGFRB,0.401822
A30 (398B),B-naive_A30,Epi-Intestine_A30,WNT5A,FZD1,0.447785
A30 (398B),B-naive_A30,Epi-Intestine_A30,C3,C3AR1,0.726871
A30 (398B),B-naive_A30,Plasma_A30,EFNA1,EPHA2,0.926112
A30 (398B),B-naive_A30,Plasma_A30,CD99,PILRA,0.810501
A30 (398B),B-naive_A30,Plasma_A30,APP,CD74,0.934211
A30 (398B),B-naive_A30,Plasma_A30,MIF,CD74,1.0
A30 (398B),B-naive_A30,Plasma_A30,MDK,LRP1,0.83107
A30 (398B),B-naive_A30,T-CD4_A30,LGALS9,MRC1,0.827323
A30 (398B),B-naive_A30,T-CD4_A30,HLA-E,KLRC1,1.0
A30 (398B),B-naive_A30,T-CD4_A30,EFNA1,EPHA2,0.758359
A30 (398B),B-naive_A30,T-CD4_A30,LTB,LTBR,0.862922
A30 (398B),B-naive_A30,T-CD4_A30,IL6,IL6R,0.395684
A30 (398B),B-naive_A30,T-CD4_A30,PDGFB,PDGFRB,0.981054
A30 (398B),DC_A30,Mono_A30,DLL1,NOTCH1,0.217534
A30 (398B),DC_A30,Mono_A30,C3,C3AR1,0.310587
A30 (398B),DC_A30,Mono_A30,FAM3C,HLA-C,1.0
A30 (398B),DC_A30,Mono_A30,RPS19,C5AR1,1.0
A30 (398B),DC_A30,Mono_A30,VEGFA,KDR,0.522632
A30 (398B),DC_A30,Mono_A30,BMP4,BMPR1A,0.455655
A30 (398B),DC_A30,Mono_A30,HLA-E,KLRC1,0.724284
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,CXCL12,CXCR4,0.504032
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,EGF,EGFR,0.452928
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TGFB1,TGFBR1,0.019302
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,APP,CD74,0.45885
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,HGF,MET,0.309921
A30 (398B),Epi-Intestine_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.301083
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,MDK,LRP1,1.0
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNF,TNFRSF1A,0.57784
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.934962
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.635043
A30 (398B),T-CD8_A30,Stromal-Intestine_A30,JAG1,NOTCH2,0.48322
A30 (398B),Mac_A30,T-CD8_A30,VEGFA,KDR,0.644876
A30 (398B),Mac_A30,T-CD8_A30,IGF1,IGF1R,0.346907
A30 (398B),Mac_A30,T-CD8_A30,CCL3,CCR1,0.993846
A30 (398B),Mac_A30,T-CD8_A30,LTB,LTBR,0.390605
A30 (398B),Mac_A30,T-CD8_A30,EGF,EGFR,0.192325
A30 (398B),Mac_A30,T-CD8_A30,TNF,TNFRSF1A,0.422262
A30 (398B),Endo_A30,NK_A30,CXCL12,CXCR4,0.643689
A30 (398B),Endo_A30,NK_A30,CDH1,ITGB1,0.671798
A30 (398B),Endo_A30,NK_A30,CCL5,CCR1,0.466839
A30 (398B),Endo_A30,NK_A30,LTB,LTBR,0.463579
A30 (398B),Endo_A30,NK_A30,CD99,PILRA,0.716617
A30 (398B),Endo_A30,NK_A30,TNF,TNFRSF1A,0.12174
A30 (398B),Endo_A30,NK_A30,AREG,EGFR,0.417258
A30 (398B),T-CD8_A30,Mast_A30,EFNA1,EPHA2,0.476184
A30 (398B),T-CD8_A30,Mast_A30,LTB,LTBR,0.651462
A30 (398B),T-CD8_A30,Mast_A30,APP,CD74,0.992905
A30 (398B),B-naive_A30,T-gamma/delta_A30,EGF,EGFR,0.309672
A30 (398B),B-naive_A30,T-gamma/delta_A30,MDK,LRP1,0.795479
A30 (398B),B-naive_A30,T-gamma/delta_A30,JAG1,NOTCH2,0.213882
A30 (398B),B-naive_A30,T-gamma/delta_A30,SPP1,CD44,0.143291
A30 (398B),B-naive_A30,T-gamma/delta_A30,TGFB1,TGFBR1,0.686491
A30 (398B),B-naive_A30,T-gamma/delta_A30,TNF,TNFRSF1A,0.323404
A30 (398B),B-naive_A30,T-gamma/delta_A30,APP,CD74,0.852507
A30 (398B),Stromal-Intestine_A30,NK_A30,TGFB1,TGFBR1,0.543178
A30 (398B),Stromal-Intestine_A30,NK_A30,RPS19,C5AR1,0.9986
A30 (398B),Stromal-Intestine_A30,NK_A30,IL6,IL6R,0.410142
A30 (398B),Stromal-Intestine_A30,NK_A30,GRN,SORT1,0.585288
A30 (398B),Stromal-Intestine_A30,NK_A30,BMP4,BMPR1A,0.116548
A30 (398B),Stromal-Intestine_A30,NK_A30,FAM3C,HLA-C,0.562086
A30 (398B),Stromal-Intestine_A30,NK_A30,LGALS9,MRC1,1.0
A30 (398B),Mast_A30,Endo_A30,RPS19,C5AR1,0.634371
A30 (398B),Mast_A30,Endo_A30,LILRB4,LAIR1,0.691655
A30 (398B),Mast_A30,Endo_A30,HGF,MET,0.489522
A30 (398B),T-gamma/delta_A30,Plasma_A30,EGF,EGFR,0.50027
A30 (398B),T-gamma/delta_A30,Plasma_A30,IGF1,IGF1R,0.556958
A30 (398B),T-gamma/delta_A30,Plasma_A30,FGF2,FGFR1,0.293828
A30 (398B),T-gamma/delta_A30,Plasma_A30,HGF,MET,0.566526
A30 (398B),T-gamma/delta_A30,Plasma_A30,CSF1,CSF1R,0.623068
A30 (398B),T-gamma/delta_A30,Plasma_A30,MIF,CD74,0.770097
A30 (398B),B-mem_A30,Stromal-Intestine_A30,CDH1,ITGB1,0.289273
A30 (398B),B-mem_A30,Stromal-Intestine_A30,FAM3C,HLA-C,1.0
A30 (398B),B-mem_A30,Stromal-Intestine_A30,AREG,EGFR,0.313544
A30 (398B),B-mem_A30,Stromal-Intestine_A30,LILRB4,LAIR1,0.826687
A30 (398B),B-mem_A30,Stromal-Intestine_A30,VEGFA,KDR,0.32487
A30 (398B),B-mem_A30,Stromal-Intestine_A30,BMP4,BMPR1A,0.277433
A30 (398B),Mono_A30,Endo_A30,CSF1,CSF1R,0.432276
A30 (398B),Mono_A30,Endo_A30,MIF,CD74,0.814098
A30 (398B),Mono_A30,Endo_A30,IL6,IL6R,0.519947
A30 (398B),Mono_A30,Endo_A30,MDK,LRP1,0.492089
A30 (398B),Mono_A30,Endo_A30,FGF2,FGFR1,0.216354
A30 (398B),Mono_A30,Endo_A30,CCL3,CCR1,0.690146
A30 (398B),Plasma_A30,B-mem_A30,CCL5,CCR1,0.807538
A30 (398B),Plasma_A30,B-mem_A30,WNT5A,FZD1,0.282639
A30 (398B),Plasma_A30,B-mem_A30,JAG1,NOTCH2,0.742436
A30 (398B),Plasma_A30,B-mem_A30,FAM3C,HLA-C,0.961808
A30 (398B),Plasma_A30,B-mem_A30,FGF2,FGFR1,0.165283
A30 (398B),Mac_A30,B-mem_A30,LGALS9,MRC1,0.500244
A30 (398B),Mac_A30,B-mem_A30,CDH1,ITGB1,0.677053
A30 (398B),Mac_A30,B-mem_A30,CXCL12,CXCR4,0.598261
A30 (398B),Mac_A30,B-mem_A30,EGF,EGFR,0.703477
A30 (398B),Mac_A30,B-mem_A30,VEGFA,KDR,0.665003
A30 (398B),Mac_A30,ILC3_A30,COPA,CD74,0.859422
A30 (398B),Mac_A30,ILC3_A30,CCL5,CCR1,0.591816
A30 (398B),Mac_A30,ILC3_A30,CSF1,CSF1R,0.92009
A30 (398B),Mac_A30,ILC3_A30,JAG1,NOTCH2,0.156652
A30 (398B),T-CD8_A30,Mac_A30,WNT5A,FZD1,0.525988
A30 (398B),T-CD8_A30,Mac_A30,RPS19,C5AR1,0.941639
A30 (398B),T-CD8_A30,Mac_A30,GRN,SORT1,0.973073
A30 (398B),T-CD8_A30,Mac_A30,EGF,EGFR,0.062534
A30 (398B),T-CD8_A30,Mac_A30,CCL5,CCR1,1.0
A30 (398B),T-gamma/delta_A30,DC_A30,LTB,LTBR,0.723997
A30 (398B),T-gamma/delta_A30,DC_A30,HGF,MET,0.39015
A30 (398B),T-gamma/delta_A30,DC_A30,CCL5,CCR1,0.538429
A30 (398B),T-gamma/delta_A30,DC_A30,LGALS9,MRC1,0.707483
A30 (398B),T-gamma/delta_A30,DC_A30,MDK,LRP1,0.677334
A30 (398B),T-gamma/delta_A30,DC_A30,EGF,EGFR,0.217825
A30 (398B),T-gamma/delta_A30,DC_A30,CCL3,CCR1,1.0
A30 (398B),T-CD8_A30,B-naive_A30,HLA-E,KLRC1,1.0
A30 (398B),T-CD8_A30,B-naive_A30,CSF1,CSF1R,0.837866
A30 (398B),T-CD8_A30,B-naive_A30,EGF,EGFR,0.07308
A30 (398B),T-CD8_A30,B-naive_A30,MIF,CD74,0.403784
A30 (398B),T-CD8_A30,B-naive_A30,FGF2,FGFR1,0.57135
A30 (398B),T-CD8_A30,B-naive_A30,COPA,CD74,0.771305
A30 (398B),T-CD8_A30,B-naive_A30,PDGFB,PDGFRB,0.326054
A30 (398B),T-gamma/delta_A30,Mac_A30,TGFB1,TGFBR1,0.280237
A30 (398B),T-gamma/delta_A30,Mac_A30,TNFSF13B,HLA-DPB1,1.0
A30 (398B),T-gamma/delta_A30,Mac_A30,GRN,SORT1,0.605516
A30 (398B),T-gamma/delta_A30,Mac_A30,CD99,PILRA,0.713191
A30 (398B),T-gamma/delta_A30,Mac_A30,WNT5A,FZD1,0.565907
A30 (398B),Mono_A30,Mast_A30,EFNA1,EPHA2,0.665359
A30 (398B),Mono_A30,Mast_A30,CDH1,ITGB1,0.581629
A30 (398B),Mono_A30,Mast_A30,MIF,CD74,1.0
A30 (398B),Mono_A30,Mast_A30,LGALS9,MRC1,0.370499
A30 (398B),Mono_A30,Mast_A30,MDK,LRP1,0.700117
A30 (398B),Mono_A30,Epi-Intestine_A30,IL6,IL6R,0.593988
A30 (398B),Mono_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.345156
A30 (398B),Mono_A30,Epi-Intestine_A30,TNFSF13B,HLA-DPB1,0.516987
A30 (398B),Mono_A30,Epi-Intestine_A30,CXCL12,CXCR4,1.0
A30 (398B),Mono_A30,Epi-Intestine_A30,JAG1,NOTCH2,0.264352
A30 (398B),ILC3_A30,T-CD8_A30,TNFSF13B,HLA-DPB1,0.893644
A30 (398B),ILC3_A30,T-CD8_A30,IGF1,IGF1R,0.921613
A30 (398B),ILC3_A30,T-CD8_A30,CXCL12,CXCR4,0.766437
A30 (398B),ILC3_A30,T-CD8_A30,CCL5,CCR1,0.656754
A30 (398B),ILC3_A30,T-CD8_A30,SPP1,CD44,0.831769
A30 (398B),ILC3_A30,T-CD8_A30,TNF,TNFRSF1A,0.33985
A30 (398B),T-CD4_A30,Mono_A30,CDH1,ITGB1,0.686157
A30 (398B),T-CD4_A30,Mono_A30,CXCL12,CXCR4,0.921392
A30 (398B),T-CD4_A30,Mono_A30,SPP1,CD44,0.614843
A30 (398B),T-CD4_A30,Mono_A30,TGFB1,TGFBR1,0.097248
A30 (398B),Epi-Intestine_A30,B-mem_A30,EFNA1,EPHA2,0.317507
A30 (398B),Epi-Intestine_A30,B-mem_A30,IGF1,IGF1R,0.663797
A30 (398B),Epi-Intestine_A30,B-mem_A30,PDGFB,PDGFRB,0.11802
A30 (398B),Epi-Intestine_A30,B-mem_A30,CSF1,CSF1R,0.676442
A30 (398B),Epi-Intestine_A30,B-mem_A30,CXCL12,CXCR4,0.754427
A30 (398B),Stromal-Intestine_A30,Mono_A30,CDH1,ITGB1,0.338333
A30 (398B),Stromal-Intestine_A30,Mono_A30,TNFSF13B,HLA-DPB1,0.542291
A30 (398B),Stromal-Intestine_A30,Mono_A30,IGF1,IGF1R,0.660875
A30 (398B),Stromal-Intestine_A30,Mono_A30,CCL5,CCR1,0.935276
A30 (398B),Stromal-Intestine_A30,Mono_A30,BMP4,BMPR1A,0.82548
A30 (398B),Stromal-Intestine_A30,Mono_A30,TGFB1,TGFBR1,0.898981
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,GRN,SORT1,0.733277
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.740559
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,FAM3C,HLA-C,0.85602
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,HGF,MET,0.409997
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,IL6,IL6R,0.425601
A30 (398B),T-gamma/delta_A30,Stromal-Intestine_A30,CCL3,CCR1,0.782428
A30 (398B),Endo_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.737572
A30 (398B),Endo_A30,Stromal-Intestine_A30,TNFSF13B,HLA-DPB1,0.717075
A30 (398B),Endo_A30,Stromal-Intestine_A30,FGF2,FGFR1,0.807017
A30 (398B),Endo_A30,Stromal-Intestine_A30,RPS19,C5AR1,0.638471
A30 (398B),T-CD8_A30,T-gamma/delta_A30,LGALS9,MRC1,1.0
A30 (398B),T-CD8_A30,T-gamma/delta_A30,BMP4,BMPR1A,0.555026
A30 (398B),T-CD8_A30,T-gamma/delta_A30,AREG,EGFR,0.894056
A30 (398B),DC_A30,Epi-Intestine_A30,DLL1,NOTCH1,0.551901
A30 (398B),DC_A30,Epi-Intestine_A30,FAM3C,HLA-C,0.729371
A30 (398B),DC_A30,Epi-Intestine_A30,TNF,TNFRSF1A,0.201511
A30 (398B),DC_A30,Epi-Intestine_A30,HLA-E,KLRC1,1.0
A30 (398B),T-CD8_A30,ILC3_A30,CSF1,CSF1R,0.967468
A30 (398B),T-CD8_A30,ILC3_A30,RPS19,C5AR1,0.824669
A30 (398B),T-CD8_A30,ILC3_A30,EFNA1,EPHA2,0.159137
A30 (398B),T-CD8_A30,ILC3_A30,C3,C3AR1,0.636131
A30 (398B),T-CD8_A30,ILC3_A30,IGF1,IGF1R,0.306622
A30 (398B),DC_A30,Stromal-Intestine_A30,EGF,EGFR,0.380248
A30 (398B),DC_A30,Stromal-Intestine_A30,DLL1,NOTCH1,0.491133
A30 (398B),DC_A30,Stromal-Intestine_A30,LGALS9,MRC1,0.696676
A30 (398B),DC_A30,Stromal-Intestine_A30,HLA-E,KLRC1,0.862011
A30 (398B),DC_A30,Stromal-Intestine_A30,CXCL12,CXCR4,1.0
A30 (398B),DC_A30,Stromal-Intestine_A30,CCL3,CCR1,0.353858
A30 (398B),DC_A30,Stromal-Intestine_A30,AREG,EGFR,1.0
